lause|form|classification
"Asja ei muuda see , et Delfis käib tihti vihane andmine ka "" omade "" vahel , vaata näiteks eile alanud diskussiooni kaitseväe kordusõppuste üle , sest sel juhul põrkuvad lihtsalt kaks gruppi , kes esindavad mingit kindlat hoiakut ja materdavad nad teineteist argumentidega , mis on jäänud muutumatuks alates Delfi sünniaegadest ."|Delfis|NONE
Raske on sellise disainikultuuriga maal nagu Taani kedagi üllatada , kuid ilmselt tänu soodsale asukohale Kopenhaageni kesklinnas käis näitusel väga palju külastajaid .|asukohale|LOC
Riigikogu doonoripäeval käis verd andmas 17 inimest , neist vaid neli olid Riigikogu liikmed .|doonoripäeval|NONE
Ühes mootorpaadis istus kolm tuukrit ja teises neli .|mootorpaadis|LOC
Viimati käisid Andrus ja Marek Nõmme vastsel liikumisrajal teisipäeval .|liikumisrajal|LOC
Erakorraliste valimiste ebameeldivus seisneb selles , et kähmluselt tabatud erakonnad astuvad valijate ette enam-vähem võltsimata kvaliteedis .|kvaliteedis|NONE
Kui ettevõtja tahab võtta paremat töötajat , peab ta maksma vastavalt vallandatava töötaja staažile kuni kaheksa kuupalga ulatuses hüvitust , mis väikeettevõtjale käib üle jõu , ütles Kriis .|väikeettevõtjale|NONE
Ta lahkus Sardiiniast vaid korra , kui oli Esimese maailmasõja aegu granaadist haavata saanud .|Sardiiniast|LOC
Ag2r profid Jaan Kirsipuu ja Lauri Aus astusid tänavusel mitmepäevasõidul mõlemad katkestajate leeri ning puhkasid võistlusväsimust välja kodus , tuuri viimaste etappide aegu .|mitmepäevasõidul|NONE
Ligi 70 aastat liikus Venemaa ummikteel , viimasel kümnendil on aga Venemaa ammendanud oma vapustuste limiidi .|ummikteel|NONE
Madisso sõnul jooksis mullu paljudes riigikirjandites arusaamatu tekst , mille mõtet oli raske tabada .|riigikirjandites|NONE
Firenzes käisime neljas arvutifirmas .|arvutifirmas|LOC
""" Pool aastat olen Aivarilt käinud mitu korda küsimas ."|Aivarilt|"NONE"""
Tiigrituuri arvutitelgis Tartus Raekoja platsil käis eile ligi 1500 huvilist , kes surfasid internetis ja mängisid arvutimänge .|arvutitelgis|LOC
Kaks suve tagasi osales Väike-Maarja korvpallimeeskond väikelinnas Palestrinas ( kuulsa helilooja sünnilinnas ) noorteturniiril ning Virumaal vastukülaskäigul käinud itaallastest said südamest Eesti-huvilised .|vastukülaskäigul|NONE
Sergejeva käis sihtasutuses mullu novembris , rohkem teda nähtud pole .|sihtasutuses|NONE
Päikesetõusul , kui üle kogu linnakese kajanud palvusehüüd oli meid üles raputanud , nägin , et taevas polnud ühtegi pilve , vaid olid tõepoolest kõrged mäed ning et kogu Kemer õitses , hotellide aiad olid täis eksootilisi taimi , millele ei osanud nimegi anda ning kohalike elanike rämpsustes aedades istusid rättides naised ja jälgisid poolpaljaid turiste ketikoera tigedusega .|rättides|NONE
"""Üheksanda klassi noormehed tõdevad , et neile meeldiks , kui tüdrukud sagedamini miniseelikuid kannaksid "" Talvel nagu minis hästi ei käi , külm on , "" selgitab Maarja Seinas ."|minis|"NONE"""
Sellest väikesest ebaõnnestumisest hoolimata lahkun Eestist parimate muljetega .|ebaõnnestumisest|NONE
Enam on kõneainet tekitanud Tartu Korvpallikoolis käinud poiste värbamine .|Korvpallikoolis|LOC
Chihuahua osariigi võimud pöördusid föderaalvalitsuse poole palvega alandada otsekohe kõigi kütteliikide hinda , kuna selle hankimine külmalainega toimetulekuks käib plajudele mehhiklastele üle jõu .|plajudele|NONE
"""Pühapäeval Koonderakonna kongressil erakonna peasekretäriks kinnitatud abilinnapea Ants Leemets ütles , et ei lahku abilinnapea kohalt enne linna järgmise aasta eelarveprojekti jõudmisest linnavolikogu ette 15. novembril ."|jõudmisest|"NONE"""
Ma tahan , et mu telefonil oleksid oleku- ja kasutajaprofiilid , et ta aku peaks vastu kauem kui kaks ööpäeva , et tal oleks rohkem kui neli juba aastaid tuntud Ericssoni helinat , et menüüd ei liiguks telefonirežiimis nii aeglaselt ( viimati valitud kõnede nimekirja peab pärast nupulevajutust ootama tervelt sekundi ) ja et telefoni suurel ekraanil näidatav tekst ei oleks nii kribu , et näiteks autoroolis ja pimedas on võimatu aru saada , kes mulle helistab .|telefonirežiimis|NONE
22aastast Märtinit peetakse Eesti andekaimaks nooreks rallimeheks , viimastel hooaegadel on ta kodustele ässadele valusalt kannale astunud .|ässadele|NONE
Paulauskas , kes käis kodu lähedal Lasnamäed meenutavas Fabijonishkesi uusrajoonis koos abikaasa Jolanta ( 25 ) ja noorima tütre Aistega ( 3 ) jalgsi hääletamas , oli oma võidus veendunud .|uusrajoonis|LOC
Aitaks ehk metsade lagendikeks muutmine , mis ju nii Amasoonias kui ka Eestis päris edukalt käib ?|Amasoonias|LOC
Nagu hiljuti Tallinas käinud helilooja Penderecki ütles : oma piiblitekstidel põhinevate suurvormidega on ta viimane mohikaanlane .|Tallinas|LOC
Avariihetkel juhi kõrval istunud Oleg lebab intensiivraviosakonnas raske ajukahjustusega koomaseisundis , teised on raskete vigastustega neurokirurgiaosakonnas .|Avariihetkel|NONE
"""Samal ajal astuvad kümmekonnas esinemispaigas õllesõprade ette sellised armastatud lauljad ja pillimehed nagu Rock Hotell , Ummamuudu ja Setu laulukoor , FIX , Seelikukütid või Marju Kuut ."|esinemispaigas|"LOC"""
Nädalavahetusel Siguldas MKetapil käinud Eesti koondise peatreener Peeter Kirt kuulis ehmatuseks , et maapakku läinud presidendi võlakoorem on arvatust kopsakam .|Siguldas|LOC
"""Tasalaini väitel käib Jõulumäel rahvast alates ema-isa kõhul kotikeses rippuvatest imikutest kuni pensionärideni välja ."|imikutest|"NONE"""
"""Nüüd käisin kaks päeva enne võistlust kangisaalis . """|kangisaalis|"LOC"""
Korra käis Ööbik ka Rakverest väljaspool - Põltsamaa veinipeol .|veinipeol|NONE
"""McLarenisse lahkunud tippkonstruktor Adrian Newey oli just aerodünaamika spetsialist ja kuigi vormeli ehitamine on tänapäeval tiimitöö , pole talle väärilist asendajat leitud ."|McLarenisse|"NONE"""
"""Tualetipotist mööda istunud purjus Saaremaa mees veetis pool tundi poti ning seina vahele kiilutuna enne , kui päästeteenistuse ametnikud ta vabaks tirisid ."|Tualetipotist|"LOC"""
Kell 19.26 kontori sulgenud Marika istus veidi eemal oma kaasosaliste vanemat tüüpi sinisesse Fordi ja sõitis koos noormeestega tagasi kontori juurde .|sinisesse|NONE
Astuvad sisse juveeliärisse :|juveeliärisse|LOC
Dagmari meelest eristuvad naiskodukaitsesse astuvad naised meelelaadilt selle poolest , et on sportlikumad .|naiskodukaitsesse|NONE
Praegu liigub pealinna erinevatel liinidel Rohti sõnul iga päev kaks kuni kuus Ikarust .|Ikarust|NONE
"""Eestist astub seekord lavale rohkearvuliselt lauljaid alates esimesest festivalivõitjast Silvi Vraidist ja lõpetades 13-aastase Saaremaa neiu Maria Väliga ."|festivalivõitjast|"NONE"""
"""Ta pole abiellunud , ta elab koos emaga , tal pole kindlat tööd , aeg-ajalt käib ta külapidudel kitarri mängimas ."|külapidudel|"NONE"""
Vähe sõidetavate ja kehva kvaliteediga teede remont käib tänu uuele parandusmasinale varasemast kiiremini ning on ka teefirmale soodne , kuna nõuab kolm korda vähem töölisi .|parandusmasinale|LOC
"""Paar korda käisin neljasilmavestlusel ."|neljasilmavestlusel|"NONE"""
Kui see niimoodi oleks , astuksin ma meeste seisusest otsekohe välja .|seisusest|NONE
"""Piiskop-emeeritus Henrik Svenungsson on käinud olavipäeval Vormsil igal teisel aastal alates kiriku taaspühitsemisest 1990."|taaspühitsemisest|"NONE"""
Estonian Air liigub üldisele lennundusele vastupidises suunas ka sellel aastal .|lennundusele|NONE
Vabanemist taotlevast kümmekonnast Harku vangla kinnipeetavast astus eile esimesena maakohtu esimehe Sirje Õunpuu kabinetti Eenmaa .|kinnipeetavast|NONE
Kaitseminister Sergei Ivanov teatas , et Vene lennukid pole Pankisi kurus käinud ning tegi Gruusiale ettepaneku intsidenti koos uurida .|kurus|LOC
Varssavi lennujaamas üle antud Ustimenko istus Poola lennukompanii 50-kohalise reisilennuki tagaotsas , kus enamik reisijaid teda isegi tähele ei pannud .|tagaotsas|LOC
Esmaspäevani istus ta Amsterdamis trellide taga ja on nüüd lõpuks jõudnud tagasi Helsingisse .|Amsterdamis|LOC
"""Alles hiljuti , kui käis dislussioon OSCE missiooni lahkumisest Eestist , Moskvas nii ei arvatud ."|lahkumisest|"NONE"""
Ühinemisläbirääkimistesse on astunud ka Eesti .|Ühinemisläbirääkimistesse|NONE
Pärnu supelranna luidetelt liigub liiv hoovuste ja tuule mõjul veel muulide vahele laevakanalisse ja muuli äärde jäävasse sonni .|luidetelt|LOC
""" Kui ma esmaspäeval end valimiskomisjonis registreerimas käisin , siis nad keerutasid seal , kui küsisin , mitu kandidaati veel on , "" lausus Liira ."|valimiskomisjonis|NONE
Tartu Aura veepargi turundusjuhi Marilin Krooni sõnul käib Vene rühmi nädalas 4-5 , sama palju käib Auras ka lätlasi .|Auras|LOC
""" Viimasel ajal käivad vargad eramutes sees just päise päeva ajal , kui majalised ise kas aias toimetavad või on lihtsalt korraks välja läinud ja ukse lahti jätnud , "" rääkis ta ."|eramutes|"LOC"""
""" Ühtse dokumendihaldussüsteemi juurutamisega astub linn oma sisemises töökorralduses ja kodanikega suhtlemises tubli sammu edasi , "" ütles Sepp ."|töökorralduses|"NONE"""
""" Nad käisid siin ujulas ujumas , treener nägi hiljem pildi pealt ja tundis ära , "" ütles ta ."|ujulas|LOC
See oli ajal , mil Nobeli rahupreemia laureaat Sahharov istus vaba maailma protestidest hoolimata vangistuses Gorkis .|vangistuses|NONE
"""Ühelt poolt jookseb ta sisse eetikasse , "" ütles Vilosius ."|eetikasse|"NONE"""
Jutt käib põhiväärtustest .|põhiväärtustest|NONE
Nüüd kõnnivad näitusesaali avaras õhuruumis rohkete laevamudelite ja teiste mereeksponaatide vahel muuseumikülalised .|õhuruumis|NONE
Nüüd turvab nii Eesti Energiat kui ka Estonia teatrit ja käib vormi hoidmiseks koos oma iiri setteri Billiga Pirita veerel sügissuplemas .|sügissuplemas|NONE
Esimene konvoi , kuhu kuulusid Iraagist massihävitusrelvi otsivad ÜRO inspektorid , käis linnast 20 km idas asuval sõjaväeterritooriumil .|sõjaväeterritooriumil|LOC
Meie klubi käib vähemalt korra aastas Prantsusmaal konjakireisil ning viimane kord naasime sealt mitme uue suunaga konjakikultuuris .|konjakireisil|NONE
Seega on karud Roosikrantsi uulitsal käinud , ja mistarvis siis veel , kui mitte jahipoe ette pommi panemas !|uulitsal|LOC
Traumapunktiteenuste eest viiekroonist tasu küsivas Bal-neomis käib traumadega 50-60 inimest päevas .|Bal-neomis|LOC
Tänaval ja linna peal käib majaelanikest kolmandik , ülejäänud on ainult toas või hingavad õueõhku rõdult .|majaelanikest|NONE
Suvel sisustan aega metsas hulkumisega ja ilmselt käin üle pika aja taas mõnel orienteerumisvõistlusel .|orienteerumisvõistlusel|NONE
Kultuurifestivalil Kopenhaagenis astuvad üles 11 riigi muusikud , näitlejad , tantsijad .|Kultuurifestivalil|NONE
Helene istub diivaninurgal täpselt nii , nagu istuvad vanadel fotodel eestiaegsed perenaised .|diivaninurgal|LOC
Alates päevast , kui Tallinna ainsa taksoettevõtte - taksopargi - Volgade kõrvale tekkisid esimesed kooperatiivi- ja litsentsitaksod , käib taksonduses üks kammajaa .|taksonduses|NONE
"""Tööpataljonis käisime üle Eesti metsatöödel ja hiljem ka kolhoosides tööl ."|Tööpataljonis|"NONE"""
""" Jaanuari alguses , kui sealse setu seltsi kutsel Petseris käisin , jättis remonditud koolisaal väga hea mulje , "" kinnitas Nurk ."|Petseris|"LOC"""
Vahetult enne Gerlit proovilaval käinud Lea Liitmaa nägi aga unes , et just Gerli võidab .|proovilaval|LOC
Mõnedes euroajudes liigub juba mõte üle-euroopalise ajalehe loomise suunas .|euroajudes|NONE
Näiteks Floridas käib metsikutele orhideevormidele tõeline jaht - kollektsionääride seas on need kõrges hinnas .|orhideevormidele|NONE
"""Reklaamplakatil istub Gorbatšov auto tagaistmel Berliini müüri foonil ."|foonil|"NONE"""
Vihmaga on hoopis lihtsam liikuda , pane ainult kalossid jalga , astu rentslisse ja lase voolul end kanda .|rentslisse|LOC
"""Humanitaaraladel on tuntud tegelastest lahkunud ka Berk Vaher ."|Humanitaaraladel|"NONE"""
Õe sõnul kõnnib vend sageli unes .|unes|NONE
Lühikeses jalas käisid nad tarbekunstigaleriis , jäädes sinna paarikümneks minutiks .|tarbekunstigaleriis|LOC
"Tema kompanii likvideerimine käib Jukose hävitamisel "" läbiharjutatud "" stsenaariumi järgi ."|hävitamisel|NONE
"""Tallinna Haabersti sotsiaalkeskuses viiendat aastat käsitööd tegemas käivad pensionärid avastasid Postimehe vahel ilmunud parteinimekirju uurides jahmatusega , et on Rahvaliidu liikmed ."|sotsiaalkeskuses|"LOC"""
Jazz unistab ajast , kui ta on vanem mees , kes istub siidist hommikukuues kiiktoolis ning suitsetab piipu .|hommikukuues|NONE
"""Kuressaare linnateatri rambivalgust näinud "" Polkovniku leses "" astuvad lavale telestaaridena tuntud Madis Milling ja Henrik Normann , nende kuulsa sarja "" Vanade ja kobedate "" headuses ."|headuses|"NONE"""
Jutt käib Soome elektriturgu valitsevast energiafirmast Fortum .|energiafirmast|NONE
Viljakas ja mitmekülgne kirjamees astus kirjandusellu juba 1960-ndatel , kuigi tema luule- ja proosadebüüt oli alles järgmisel kümnendil .|1960-ndatel|NONE
"""Jutt käib "" Kajakast "" , "" Võluflöödist "" , ( kahtlemata uuele kultuuriministrile pühendatud ) "" Jänese aastast "" ning sooloprojektidest "" Faust "" ja "" Hamletid "" ."|Kajakast|"NONE"""
Organisatsiooni avalduses räägitakse , et venelased vihkavad ennekõike fašiste , kes istuvad äriringkondades , parlamendis ja valitsuses , aga mitte tavalisi Balti riikide elanikke .|äriringkondades|NONE
"""Näiteks käib Las Vegases esinemas Elton John , "" rääkis Karu ."|Las|"NONE"""
Kolmel MM-etapil poodiumile astunud britt Lewis Hamilton on tuntud hulljulge sõitjana .|MM-etapil|LOC
"""15 aastat Tallinna kuulsaima bordelli mainet kandnud Lily striptiisibaari pidajad astuvad nädala pärast Eesti suurimas prostitutsiooniprotsessis süüdistatavatena kohtu ette ."|prostitutsiooniprotsessis|"NONE"""
Nouri al-Maliki on šiiit ja kuulus liikumisse , mis Saddami valitsusajal astus vastu sunniidist diktaatori režiimile , vahendab BBC .|sunniidist|NONE
Kui seni oli ETV koos teiste eesti kanalitega ZUUMi klientidele nähtav analoogedastusena , siis alates eilsest liikus kanal ka digitaalplatvormile .|digitaalplatvormile|NONE
Festival saab hoo sisse 25. aprillil kell 21 Raekoja platsil , kus meenutuste , heade soovide ja muusika saatel süüdatakse kevadpäevade tuli , mis koos rongkäigulistega Toomemäele liigub .|Toomemäele|LOC
Show'l astub ülesse ka räpistaari poeg Kurtis Blow Junior ning lisaks maailmakuulsad breaktantsijad Lil Lep ( NYC Breakers ) , Iron Monkey ( Rock Force Crew/ LA ) ning Eesti mainet maailmas väga kõrgel hoidnud- Submission Crew .|Show'l|NONE
""" See debatt on Reformi listides käinud ja ma ei tea , kust Veskimägi nüüd sellega tuli , "" oli ta IRL-i kiirustades tehtud avapaugu peale pisut pahane ."|listides|"NONE"""
Viimastel päevadel üle Eesti kuulsaks saanud Teet Põder ( 37 ) , kes alates laupäevast Mäolt Sõmerpalu poole astus , et seal elavat isa kartulivõtul abistada , jõudis eile südapäeva paiku sihtkohta .|Mäolt|LOC
Esimene plahvatus käis kell pool kaheksa hommikul tühjas rongivagunis , teine aga rahvast täis rongis , kus oligi kõige rohkem ohvreid .|rongivagunis|LOC
Endiselt on Poola ühes ja samas maanteeruumis kolm erinevat maailma : talumees , kelle jaoks on maantee osa tema põllust ning ta astub seal üles kas oma veiste , traktori , hobuveoki või muu üllatusliku riistapuuga;  väiksed fiatid , mis liiguvad küll talumeestest kiiremini ja järgivad liikluseeskirju , kuid siiski takistavad meie mõistes normaalset sõitmist;  liiklus , mida meie liikluseks peame .|talumeestest|NONE
"""Tulevikus politseiniku või tolliametniku elukutset ihkav tütarlaps lisas , et paljud käivad sisseastumiskatsetel lihtsalt hasardist ."|hasardist|"NONE"""
Peeter Marvet käis Saksamaal maailma suurimal arvutimessil CeBIT ning räägib nüüd mõnest põnevast imevigurist , mida ta seal nägi .|arvutimessil|NONE
Eile lõppenud Davosi majandusfoorumi viimase päeva esimesel sessioonil istus lugupeetud seltskond lauda arutama kultuuride heterogeensust ja konflikte .|sessioonil|NONE
Puhkuse ajal käis Mart oma absoluutse kuulmisega traalidel , akustilistel aparaatidel abiks kalaparvi otsimas .|traalidel|NONE
Jutt käib muusikamaastikust , mis on olnud ja jääb ilmselt alati marginaalseks , lõpuni kättesaamatuks selle suure ja kõikjal kohaloleva kommertsi ja meinstriimi suhtes .|muusikamaastikust|NONE
Külas käis vilgas väikeplokkidest majade ehitamine , sest iga naisevõttu plaaniv mees peab enne abiellumist eluaseme valmis saama .|väikeplokkidest|NONE
"Kunagi jooksis Taani telekanalitel Carlsbergi õllereklaam , milles Taanimaalt noruspäi lahkuvad Saksa sõdurid arutavad : "" Ah , ega siin Taanis midagi head olnudki ."|Taanimaalt|"LOC"""
Soojusenergia , mida harilikult kannab minema vesi , lahkub reaktorist hoopis inertgaasi heeliumi abil .|reaktorist|LOC
Ilmselt ei õnnestu ühelgi külalisel sellest Poola prints Kraki järgi nime saanud linnast pääseda enne , kui ta pole käinud Kazimirezis , mis on Waweli mäe kõrval üks linna suuremaid turistipeibutusi .|Kazimirezis|LOC
"""Sidney olümpia-mängudel käis kultuuriminister Signe Kivi ."|olümpia-mängudel|"NONE"""
Mullusel MM-il sõitsid selles paadiklassis hoopis Igor Kuzmin ja Andrei Jämsa , Pärnu-Narva seganeljases istusid veel Silver Sonntak ja Andrei Šilin .|seganeljases|NONE
Stockmanni kaubamaja juures asuva Jõuluvana Johannese kuuseäri ees käis eile õhtuhämaras kibekiire riietumine .|õhtuhämaras|NONE
Eile käisid eksamikeskuses nõu küsimas ka Juhkentali gümnaasiumi abituriendid ja nende lapsevanemad .|eksamikeskuses|LOC
"Erinevalt "" üksikust bussijuhist "" ja "" aleviku müüjast "" käib ta sagedamini huvialaringides , näiteks pere- ja naisteühendustes , suhtleb rohkem inimestega ja on ühiskondlikult aktiivsem , kuid tema aktiivsus on nn klubilist laadi ."|huvialaringides|LOC
"""Tihtipeale astusid nad türklastest mööda , "" kirjeldas Enden ."|türklastest|"NONE"""
Martha's Vineyardis , mis on Milesile omamoodi südame kodu - koht , kus ta peaks tegelikult elama , kui saaks - , on Russo käinud perega aastaid ja see püsib neile maagilise paigana , sest neil on seal omavahel nii hea olla .|Martha's|LOC
Kliendid on nii massaažiteenust pakkuvad firmad kui ka eraisikud , kes käivad massaažikoolis lihtsalt oma huvist .|massaažikoolis|LOC
Videvikus liiguvad loomad ja inimestel on kanapimedus ehk nõrgenenud nägemine pimedas või hämaras .|Videvikus|NONE
Linnaosade juures tegutsevad alaealiste komisjonid ei käi töömahust üle , probleemi uurinud töörühm soovitab juurde palgata sekretärid ja erinoorsootöötajad ning moodustada linnavalitsuse juurde komisjonide tööd korraldava alalise töörühma .|töömahust|NONE
Eesti-suuruste õnneks ei käi poliitika europarlamendis riigiti , vaid fraktsiooniti .|europarlamendis|LOC
Anton tunnistas , et tegu on tundliku teemaga , sest jutt käib riigi valitsemiskulude suurendamisest .|suurendamisest|NONE
Noormehed käisid välibasseinis ja lasid liugteelt liugu , kuid see kõik ei köitnud neid piisavalt ning nii otsustatigi proovida Eestis seni küllaltki kesist kandepinda leidnud spordiala kujundujumist .|välibasseinis|LOC
"Eile õhtul , pärast Priit Pedajase "" Mauruse kooli "" esietendust Eesti Draamateatris kuulutati tänavuse laureaadina välja Panso-kooli neljanda kursuse tudeng Kaido Veermäe , kes seekordses Tammsaare-lavastuses astub üles Indrekuna ."|Tammsaare-lavastuses|NONE
24. septembril vahistatud Bermani süü tõendamine oli kerge , sest kelm käis ise müügitehingul raha vastu võtmas , mistõttu kannatanud tundsid ta ära .|müügitehingul|NONE
Belgradi raadio hinnanguil käis vaatamata kahe juhtiva opositsioonipartei kõrvalejäämisele hääletamas üle 60 protsendi valijaskonnast , erandina Kosovo , kus enamuses olevad albaanlased valimistel ei osalenud .|kõrvalejäämisele|NONE
Reaalkoolist pole viimase õppeaasta jookul lahkunud ükski õpetaja .|Reaalkoolist|LOC
Kuid Tuppits möönis , et käis jalatsikaupluse naisteosakonnas ja seal müüdud saapaid pole võimalik meie talves kasutada .|naisteosakonnas|LOC
Tulles viis päeva enne maavõistlusi kokku , käime golfirajal ja ujumas , üritame luua vajalikku ühtekuuluvustunnet .|golfirajal|LOC
""" Käed liiguvad Schäublel aga tänu imele , sest kui kuul oleks tabanud tema selga kaks millimeetrit kõrgemal , oleks nüüd halvatud ka käed ."|Schäublel|"NONE"""
Laadaplatsil käib vilgas elu ja kuulda on igasuguseid keeli .|Laadaplatsil|LOC
""" Muusiku õudusunenägu oli kolhoosiesimees , kes astus pärast seitsmetunnist mängu meie juurde ja ütles , et mängige veel , mille eest me teile maksame !"|seitsmetunnist|"NONE"""
Tänavu on Rock Summeri korraldusmeeskonnast lahkunud mitu aastat festivali organiseerinud mehed , kes vastutasid programmi , tehnika ja tollidokumentide korraldamise ning muu asjaajamise eest .|korraldusmeeskonnast|NONE
Võhma Lihakombinaadi tervikvarale ostusoovi esitanud kontserni Trade Energy Best ( TEB ) esindajad tegid pankrotihaldurile taotluse ostu-müügilepingu edasilükkamiseks ja käisid majandusministri juures oma seenekasvatusprojektile toetust palumas .|seenekasvatusprojektile|NONE
Tartus oli kolmapäeval liivatamata kõnniteede ohvreid 30 , kellest 10 lahkusid ülikooli kliinikumist kipsis jalaga .|kipsis|NONE
Uue Meedia teine oluline ülesanne on hoida infosajandisse astuvat inimest kursis arvuti- ja mobiilimaailma uusimate suundumuste ning samuti seal toimuvaga .|infosajandisse|NONE
Polegi , muide , eales kutsunud , alatasa käime talle omal hakatusel aastate kulgu meenutamas .|hakatusel|NONE
Linnaplaneerimisameti juhataja Hain Karu ja linnasekretär Toomas Sepp istuvad sinivalges lasterongis nimega Toomas .|lasterongis|LOC
Tegu on tehnoloogiamaailma uue superriigiga , kes on liikunud sammhaaval odava allhanke pakkujast kohalikel oskustel ja teadmistel baseeruva maailmamajanduse juhtriigi poole .|pakkujast|NONE
Küsimus ei ole ju treki ehitamises ega purjekate ostmises , jutt käib ettevalmistusrahast .|ettevalmistusrahast|NONE
Teisest küljest vaadatuna esines ka vastupidine käitumine - tervelt 28 protsenti vastanutest oli vaatamata tervisehäirele või haigusele käinud tööl .|tervisehäirele|NONE
Kukutatud president Mobutu Sese Seko lahkus eile Togost ning suundus Marokosse .|Togost|LOC
Kui TV3 konkurent Kanal 2 käis varasügisel välja uue igapäevaõhtuse Ristküsitluse , ütles TV3 programmidirektor , et viktoriinide turg oli juba enne seda ammu täis .|varasügisel|NONE
Artiklitest jääb mulje , et netis ainult kahtlased tüübid ja abielurikkujad käivadki .|netis|NONE
Ameeriklastel on omamoodi õigus pahane olla , sest riigi esindajad istusid tõepoolest töörühmas ja kirjutasid alla .|töörühmas|NONE
Politseikolledžisse astunud noored asuvad õppima uute kompetentsipõhiste õppekavade järgi , kus kolmekuulisele loengute perioodile järgneb samapikk praktikaaeg .|Politseikolledžisse|LOC
 Noortel , kes klubides-pubides-kontsertidel käivad , võib järgmisel päeval tekkida ajutisi kuulmisraskusi , peas sumiseda-piniseda , isegi tasakaaluhäireid tekkida , kuid need on mööduvad nähtused ,  selgitas Merilind .|klubides-pubides-kontsertidel|LOC
Koalitsiooniväed liiguvad sealsetel aladel tihti erarõivastes , kasutades sõidukeid , mis sarnanevad abiorganisatsioonide omadega .|erarõivastes|NONE
"""Olen käinud pdagoogikaülikoolis ja Tartu üikoolis tudengeid otsimas, aga erilist imevitsa nende meelitamiseks pole."|pdagoogikaülikoolis|"LOC"""
Riigikontrolör avaldas rahulolu ja lootust , et mitmed käimasolevad tööd saavad alanud aastal uue hoo - näiteks käivad tööd riigi keskse dokumendihoidla projekteerimisel ja dokumendihaldussüsteemide liidestamiseks sellega .|projekteerimisel|NONE
Veel varem istus ta kuus aastat kinni teise mehe tapmise eest kakluses .|kakluses|NONE
"""Rõivas tõdes , et ta siiski ei oota , et keeleinspektorid käiksid linnaosas valedele siltidele näpuga näitamas : "" Aga mind solvas , kui keeleinspektsioon väitis , et linnaosavalitsus suhtub küsimusse leigelt ."|siltidele|"LOC"""
Pirital elavad 1. klassi minevad lapsed käisid juba möödunud neljapäeval koos vanematega rannahoones koolialguse peol .|rannahoones|LOC
Tiia Eeskivi jooksis Norramaal Floros 400 m tõkkeid Eesti rekordiga 56,52 ning võitis esikoha .|Floros|LOC
Möödunud detsembrist töötab Maghira Fond keset tondilossi ning ühes majaosas käib hoogne ehitus .|majaosas|LOC
Kuigi tegu võiks olla üpris stereotüüpse rolliga , täidab oma karakteri eluga Larsi osa mängiv Nils Jørgen Kaalstad , kes astub esimest korda üles suurel linal .|linal|NONE
Priit Hõbemägi käis ekskursioonil Umberto Eco lapsepõlvemaailmas .|lapsepõlvemaailmas|NONE
Vaenlase armee käiks pingutuseta üle igast mõeldavast Eesti kaitsekonfiguratsioonist .|kaitsekonfiguratsioonist|NONE
"""Uus maailm on meie jaoks ka kunagisse vene laevastiku muuseumi ehitatud jaapani restoran , kus privaatses lauatoakeses istume ning kaugusest kostvat tasast igatsevat muusikat kuulame ."|lauatoakeses|"LOC"""
NATO toetuste puhul ei käi jutt üksikrajatistest , pigem on tegu poliitilise küsimusega .|üksikrajatistest|LOC
Näiteks praegugi käib USA-s Baini ja Galvexi teise rajaja Barry Bernsteni vahel vaidlus , kellele hetkel kuulub 10-15 protsenti Galvexist .|Baini|NONE
Kõndisin uhkel staadonil ringi , nii VIP-sektoris kui ka kõikvõimalikes koridorides , ning püüdsin mõista , kuhu oleme välja jõudnud ...|VIP-sektoris|LOC
Soome paremaid hinnatakse Euroopa tugevates sarjades , eelmisel aastal meistriks tulnud KuPS-ist lahkus pool põhikoosseisust .|põhikoosseisust|NONE
Kuus aastat tagasi astus Siff jõuliselt IT-ärisse .|IT-ärisse|NONE
Printsessi käib Tallinnas leinamas palju kooliõpilasi , tudengeid , Riigikogu liikmeid - inimesi tuleb kõikjalt Eestist .|Printsessi|NONE
Venelased käisid seal kroonimispidustustel ja tagasiteel peatusid Tallinnas .|kroonimispidustustel|NONE
""" Vähem istub Kanepile tema võrdlemine teise eksesireketi ameeriklanna Lindsay Davenportiga ."|Kanepile|"NONE"""
Istume Pirital Regati pst-l džiipi , võtame uudse vidina ette ja palume end juhatada Punga ja Kase tänava ristile .|pst-l|LOC
"""Kui Kiku külas elav Vallo Koppel nägi oma mobiilis plinkivat teadet "" Kiku kuld "" , tundis ta korraks soovi labidas koduões mulda lüüa , siis aga taipas , et jutt käib suusakuninganna Šmiguni medalivõidust ."|medalivõidust|"NONE"""
Samuti reostas märgatavalt vett Loksu sigala , kolmapäeval oli Salveesia hinnangul olukord sigala taga troostitu : vedeles mitmeaastane sõnnik , sigade korjused , luukered ja muu rämps ; sigalal pole siiani rajatud nõuetekohast läga ja sõnniku hoidlat ning ülejäägid satuvad põhjavette , mis aga liigub Tapa veega varustavasse veehaardesse .|veehaardesse|LOC
Küll jooksevad staadioni äärde pallimängudelt tuttavad tantsu-tüdrukud või meremehi püüd-ma kerglased naised .|pallimängudelt|NONE
