lemma;form;naitelause;margend
uusasum;uusasumitesse;sõnul on aastaga uusasumitesse lahkunud elanikust Viimsisse;loc_c
maailmaturnee;maailmaturneel;käis koos ansambliga maailmaturneel;event
haavel;haavlitest;üks haavlitest liikus südamesse;other
suusakuurort;suusakuurordis;rongipõlengut käib suusakuurordis Kaprunis pidu muiste;loc_c
Infortar;Infortari;Varem on Ühispangast omanikfirmasse Infortari liikunud sekretär;loc_a
pommitaja;pommitajatele;Käisime pommitajatele varem peale;owner
Valerenga;Valerengas;Valerengas testimisel käinud;loc_a
vormeliraja;vormelirajal;Kas vormelirajal istub rooli;loc_c
Moldova;Moldovast;Moldovast olevat aasta jooksul lahkunud inimest haltuuratööl;loc_c
Barbara;Barbaras;laupäevaõhtul istub Barbaras inimesi on;loc_c
raadius;raadiuses;reostus liigub piirkonnas raadiuses;loc_a
matkariie;matkariietes;käid matkariietes;state
perenaine;perenaisel;lüpsis siis nüüd käib naabrinaine perenaisel abiks lüpsmas;owner
Tatjana;Tatjanal;Koolitüdrukud käivad Tatjanal abiks kammimas;owner
Weinheimi;Weinheimis;Toomas jooksis Weinheimis meetrit ga;loc_c
keskkonnafond;keskkonnafondile;keskkonnafondile käib andmine üle jõu;loc_a
võistluskarussell;võistluskarussellilt;lahkus kaotuse järel USAs võistluskarussellilt;loc_a
Lada;Ladasse;jõudnud istusid röövlid koos ekskavaatorijuhiga Ladasse;loc_c
joogikontsern;Joogikontsernist;Joogikontsernist ASist lahkunud;loc_a
meelehärdus;meelehärduses;jookseb meelehärduses lapse juurest minema;state
majutuskeskus;majutuskeskusse;Edasi liigub ta majutuskeskusse;loc_c
šampoonitam;šampoonitamas;kes käib purskkaevusid šampoonitamas;error
inkasso;Inkassost;Julianuse Inkassost lahkunud;loc_a
infosüsteem;infosüsteemis;infosüsteemis liigub info koos patsiendiga;loc_a
raamatupidamisstandard;raamatupidamisstandarditele;Praegu käib arvutamine vastavalt raamatupidamisstandarditele;other
liivasiil;liivasiili;kes endale liivasiili jalga astus;error
vaenlane;vaenlasele;vaenlasele vastu astusid võitluses;owner
Põhja-Afganistan;Põhja-Afganistanis;Põhja-Afganistanis käivad lahingud protesteerivad;loc_c
džihaad;džihaadist;Täna astusime džihaadist džihaadi mõeldes;event
esikülg;esikülgedelt;näopilt on läbi käinud esikülgedelt tootereklaami;loc_a
võidupäev;võidupäeval;kes lahkus võidupäeval pealinnast;time
maakonnahaigla;maakonnahaiglasse;maakonnahaiglasse juhi kõrval istunud;loc_c
käsitlus;käsitluses;krahv astub käsitluses kultuurispasmidega sammu kerkib;state
riigieelarve;riigieelarvele;väljamaksmine ei käi riigieelarvele kindlasti üle jõu suurenevad;owner
puukool;puukoolis;rootslased on puukoolis käinud küll;loc_a
tantsuetendus;tantsuetendusel;tantsuetendusel astuvad pühapäeval Ugalas lavale balletiartistid;event
skulptuuriring;skulptuuriringis;Istusin ajal hoopis palees skulptuuriringis;event
kopteriparras;kopteripardalt;Käisin korduvalt kopteripardalt vaatamas;loc_c
abieluvoodi;abieluvoodil;ämm istub abieluvoodil;loc_c
takistamispüüe;takistamispüüetele;kõndis takistamispüüetele minema;other
fanatism;fanatismist;inimesed käivad koos fanatismist;reason
Kaagvere;Kaagverest;käis päeva eest Kaagverest toomas;loc_c
juulis-august;Juulis-augustis;Juulis-augustis käib rästik sageli jahil nuumata;time
piletimüük;piletimüügis;Hinnanguliselt liigub piletimüügis sularaha üle krooni;event
töötlemine;töötlemisel;mis käib töötlemisel konventsiooni kohta;reason
magaja;magajatel;magajatel käis laine aja vastu nina;owner
font;fondis;initsiatiivil käib fondis praegu inventuur;error
narkosõltuvus;narkosõltuvuses;sõnul käis narkosõltuvuses turgutamas tekkisid;state
internetilehekülg;internetileheküljel;Statistika järgi käib internetileheküljel huvilist;loc_a
herilasepesa;herilasepessa;me herilasepessa ei astuks;loc_a
internetikasiino;internetikasiinodest;käe all jookseb hulk internetikasiinodest;other
tagumik;tagumikku;keegi enesele pindu tagumikku ei istuks;loc_c
punkar;punkarist;Ma käisin punkarist sõbral EÕM-is külas;error
tele-eeter;tele-eetris;Mehed paneb on tele-eetris käinud sügisel;loc_a
seinaorv;seinaorvas;Istume seinaorvas;loc_c
kiirustama;kiirustas;sõnul lahkus Ivanov kiirustas;error
retseptsioon;retseptsioonist;ajal avati käis Kunstihoones retseptsioonist;loc_a
Jefrey;Jefreyst;Lahkun Jefreyst;owner
Lätimaa;Lätimaale;hiljem liikusid hääletades Lätimaale Ipikule külje alla;loc_c
MTG;MTG-st;aastal lahkus Nuutmann MTG-st;loc_a
briifing;briifingul;Saulius on turismiministeeriumis briifingul käinud;event
erilennuk;erilennukile;kes istus õhtul Tallinnas erilennukile lennata;loc_c
joogatund;joogatundides;Alul käis perekoolis joogatundides loengutes;loc_a
krematoorium;krematooriumisse;Matusetalituse järel liigub sark suurtükilafetil aupataljoni saatel krematooriumisse;loc_c
teravaim;teravaimalt;poolel liikusid teravaimalt Williams-Darling;manner
kuldkala;kuldkalale;Käisime veel Anne kuldkalale ütlemas;owner
Lõuna-Iraagi;Lõuna-Iraagist;sõdurid Lõuna-Iraagist lahkuvad;loc_c
paremus;paremuselt;Aleksander astus College kevadesse paremuselt kettakaarega rekordist;error
jahi-maa;jahi-maadele;hoopis soovil jahi-maadele ei lahkuks;loc_a
odavise;odaviskes;Sama käib odaviskes;event
vehklemistreening;vehklemistreeningul;käib küll vahetevahel saalis vehklemistreeningul;event
etikett;etiketist;jutt käib etiketist;other
laienemine;laienemisest;jutt käib laienemisest;other
võitleja;võitlejatele;tänu võitlejatele lahkusid okupatsiooniväed;other
kooskõlastusring;kooskõlastusringil;detailplaneering liigub kooskõlastusringil nüüd kiiremini võimalda;event
võimsus;võimsusel;mõlema puhul käis töö võimsusel;state
võltskarp;võltskarpides;turul on alati ka võlts-kuubalasi liikunud võltskarpides;loc_c
nõgi;nõel;Sarnaselt käib otsaga nõel üle molekulide võimaldades;error
teabevargus;teabevarguses;õhtul astuvad LHV USA-s kohtu ette süüdistatuna teabevarguses teenimises;reason
netifoorum;netifoorumis;hilisõhtul istus paigus netifoorumis inimest otsides;loc_a
ärikomandeering;ärikomandeeringutes;kes käib pidevalt ärikomandeeringutes;event
maletaja;maletajast;maletajast istuvad laua taha kaheksa;other
hooldetiim;hooldetiimist;hooldetiimist lahkunud;loc_a
tagamine;tagamisele;Tänavatel liigub politsei koos tagamisele sotsiaaltöötajaga;error
vahipost;vahipostidel;piirkaitsjad käisid vahipostidel juhtub;loc_c
õhuvägi;õhuväest;Tibbets lahkus õhuväest brigaadikindralina aastal;loc_a
Bravocom;Bravocomist;Numbriteisaldusega on Bravocomist lahkunud klienti;loc_a
koolistaadion;koolistaadionil;lastekollektiiv jookseb koolistaadionil;loc_c
ärikursus;ärikursusel;Käisin sissejuhatuseks ärikursusel;event
korjanduskast;korjanduskastis;rahad korjanduskastis liikusid;loc_c
üleujutus;üleujutusel;Raidma on liikmena seni käinud missioonil aastal üleujutusel;event
asutamine;asutamisest;surve tõttu ametis lahkunud alates asutamisest sõda;event
Vuelta;Vueltal;kes astus Vueltal sadulast etappi enne lõppu;loc_a
jah-pool;jah-poolele;Erakonnas euroteemal jah-poolele astunud;loc_a
teatemeeskond;teatemeeskonnas;Golberg jooksis eile teatemeeskonnas;loc_a
peatreeneripink;peatreeneripingile;peatreeneripingile on hooaja jooksul istunud Jaak;loc_a
Spacecomi;Spacecomil;sõnul käivad Spacecomil aastat vaidlused küll tariifide üle;owner
ristik;ristikul;05.03.2003 kella ajal ristikul astus kohas sõiduteele;error
mõisahoone;mõisahoones;mõisahoones käib elu;loc_c
ringkäik;ringkäigul;ringkäigul käis kultuuriminister lastekodudes;event
napsipood;napsipoes;Käisin napsipoes;loc_c
pronks-skulptuur;pronks-skulptuurile;linnud ei istu pronks-skulptuurile;loc_c
valuuta;valuutades;60% käib valuutades tehakse;state
abiorganisatsioon;abiorganisatsioonidele;mõju vastu võitlemine käib ülejõu abiorganisatsioonidele;owner
Maldiivi;Maldiividel;Ma olen korda käinud Maldiividel;loc_c
linastus;linastustel;samuti on ta sellega käinud linastustel;event
sotsiaal-amet;sotsiaal-ametisse;nüüd käib ta sealt sotsiaal-ametisse toomas;loc_a
tragöödia;tragöödiasse;tragöödiasse istusid oivaliselt;loc_a
kirjanduslava;kirjanduslavale;aafriklased astusid kirjanduslavale suuresti aastatel seoses levikuga;loc_a
Erki;Erkile;Erkile käis kiirus üle jõu;owner
seltsipidu;seltsipidudel;kes käib seltsipidudel laulmas;event
peiduurgas;peiduurkas;Emerson istus peiduurkas ampullide otsas;loc_c
Leigo;Leigol;meelde Leigol üles astuvat;loc_a
lavastajapult;lavastajapuldis;kes istus tänavu lavastajapuldis;loc_a
autasustamine;autasustamisel;Maret-Sport viis astusid autasustamisel astmele;event
müüriosa;müüriosal;müüriosal käib täna lõppviimistlus;loc_c
riigiviis;riigiviisil;Viimati käis liidritest UKs riigiviisil tsaar;error
kušett;kušetile;Tüdruk istus kušetile;loc_c
puulaud;puulaual;nad istusid üksteise vastu litsutuna puulaual;loc_c
taim;taimele;ju ma siis astusin liikudes taimele;loc_c
NKVD-mees;NKVD-meestele;Roopalu päeva ajal keset NKVD-meestele sülle jooksis;owner
paisjärv;paisjärves;Käisime Tshempionsoniga paisjärves granaatidega püüdmas;loc_c
inter;intris;Pärast käisin intris vaatamas;loc_c
Tretjakovkas;Tretjakovkas;Käisime Pavkaga Tretjakovkas;loc_c
GUM;GUM-is;Käisime kaubamajades GUM-is;loc_c
kotletibaar;kotletibaaris;Istub muudkui kotletibaaris metroojaama kõrval;loc_c
kapinurk;kapinurgal;kodus istus karu kapinurgal;loc_c
seksiõpetus;seksiõpetuses;seksiõpetuses käivat;event
nõlvaed;nõlvaias;Nad istusid kõrvuti pingil maja ees nõlvaias;loc_c
kaitseseisang;kaitseseisangusse;astus jalad kaitseseisangusse;state
Susanna;Susannale;Raigo muuseas käis seeaeg Susannale pinda võtta;owner
basseiniäär;basseiniäärel;Timo istus basseiniäärel;loc_c
luksusköök;luksusköögis;Inga istus üksinda luksusköögis;loc_c
kaljusopka;kaljusopkal;ma istusin koos Veronikaga männi all seal kaljusopkal;loc_c
mungaklooster;mungakloostris;Egiptuses käisime vaatamas mungakloostris;loc_c
psühholoogiakonverents;psühholoogiakonverentsil;käisin Sankt psühholoogiakonverentsil tuttavate hulgas furoori võrrelda;event
ravimipood;ravimipoes;nõnda käib päeva jooksul ravimipoes klienti;loc_c
parteikool;parteikoolis;Enno-Lembit oli pärast demobiliseerimist käinud parteikoolis;loc_a
valgemets;Valgemetsas;kes käis suvekodus Valgemetsas;loc_c
suusatajasamm;suusatajasammul;lahkus suusatajasammul kabinetist;state
Ingrid;Ingridil;Ingridil kodus väikelinnas külas käisin;owner
Moorasaar;Moorasaares;perenaisega koos käisite Moorasaares röövimas;loc_c
Köln;Kölnis;Kadri käis Kölnis aastasündmusel;loc_c
muulikivi;muulikivil;Kalju istuvad muulikivil;loc_c
Transiti;Transitis;Teinekord istus Transitis tüdruk nö ametlikult;loc_c
turvavöö;turvavööst;aga jutt käib turvavööst;other
tuberkuloos;tuberkuloosi;lahter käib tuberkuloosi;state
saalituba;saalitoas;me jälle saalitoas istusime;loc_c
Pegasus;Pegasuses;õhtul istusin Pegasuses;loc_c
kaldarinnatis;kaldarinnatisele;Istume kaldarinnatisele sööma;loc_c
eluiga;elueas;Pole ma elueas nende juures käinud;time
sitt;sitas;Istu siis sitas;state
pruut;pruutidele;Varem käis ta pruutidele helistamas;owner
pornomess;pornomessil;Käinud korduvalt pornomessil;event
jõekäär;jõekäärus;Istusime sõpradega jõekäärus;loc_c
televisioonistaap;televisioonistaapi;oodates astusid sportlased televisioonistaapi;loc_c
äripartner;äripartnerile;Pangast liikus raha kergekäeliselt äripartnerile;owner
vesilood;vesiloodile;Jüri kõndis keset autoteed vesiloodile püüdes;loc_c
pohma;pohmas;Nimelt kõndis laulja pohmas peaga mööda tänavat;error
Westbergi-eraalgkool;Westbergi-eraalgkoolis;Ilmar käis Westbergi-eraalgkoolis reaalgümnaasiumis;loc_a
reaalgümnaasium;reaalgümnaasiumis;Ilmar käis Westbergi-eraalgkoolis reaalgümnaasiumis;loc_a
tammepuu;tammepuust;tammepuust mehed käinud raamvankriga korda järel;error
moeäri;moeäris;moeäris liiguvad mastaabis rahad;loc_a
kalurimajake;kalurimajakesse;Astume kalurimajakesse;loc_c
hiigelformaat;hiigelformaadis;hiigelformaadis lito vastas jooksis non-stop tantsuvideo;state
saunatrepp;saunatrepil;Parajasti ta saunatrepil istus;loc_c
jalgotsi;jalgotsis;Enn-Aksel istus ta jalgotsis;error
kolt;koldist;aastat ei lahkunud hetkekski koldist;dependent
peolaud;peolauas;mõned istusid peolauas;loc_c
foogt;Foogtile;Estrada astus Foogtile lähemale;other
vä;vä;paaritusmäng käib vä;error
puhmas;puhmastes;sa mehega puhmastes käisid;loc_c
autokumm;autokummile;Istusin autokummile;loc_c
Wilde;Wilde'is;Istun Wilde'is koos majanaabriga;loc_c
Teise;Teises;Teises istus maani hobusevaras öövalvur;loc_c
kaupmeheelamu;kaupmeheelamus;Nüüd ma siis istusin kaupmeheelamus kamina ees;loc_c
tulepaiste;tulepaistel;nende keskel tulepaistel liiguvad haldjad;state
dise;disesse;minutid enne keskpäeva astus luurerühm saarelt neljateistkümnekraa disesse vette;error
Dinamo;Dinamos;Dmitri jooksis koos eestlasega platsile alguses Moskva Dinamos aga detsembrist saati Permi;loc_a
kodutu;kodututele;varjupaigas käib korda kodututele jagamas liige;owner
ritv;ridval;Pavel istub ridval;loc_c
diakooniamaja;diakooniamajas;diakooniamajas käib võimlemisrühm;loc_c
lumesadu;lumesajus;lumesajus ringi liikunud;event
tutvumisõhtu;tutvumisõhtul;Õhtul käisime matkamajas tutvumisõhtul mängimas;event
Metz;Metzis;Metzis käinud;loc_c
HETA;HETAst;tänaseks HETAst lahkunud;loc_a
Aeron;Aeronil;Istun hetkel Aeronil;loc_c
rütmika;rütmikalt;liigub rütmikalt;manner
Dixielant;Dixielandis;varem käisime Dixielandis;loc_c
lindla;lindlas;lindlas käib parasjagu kaalumine;loc_c
kümnepallisüsteem;kümnepallisüsteemis;Punktiarvestus käis kümnepallisüsteemis;state
Ikarus-buss;Ikarus-bussi;Ta istus jaamas lõpp-peatuses aktsiaseltsile Ikarus-bussi;loc_c
telefonivabrik;telefonivabrikus;Nad on telefonivabrikus korda vaatamas käinud;loc_c
ekstaas;ekstaasi;ekstaasi asemele astub salvimine;error
jalanõudekapp;jalanõudekapile;istusin luristades kirudes esikus jalanõudekapile;loc_c
hommikukaste;Hommikukastes;Hommikukastes istusin ta kõrval kerkis;loc_a
porimülgas;porimülkast;too astus porimülkast rambivalgusse;loc_a
maainimene;maainimestel;maainimestel käib lehti;owner
puhkebaas;puhkebaasides;puhkebaasides käinud;loc_c
teabmima;teabmis;istunuks ta seal teabmis ajast;error
purskkaevupark;purskkaevupargis;ta siis ekspeditsiooni algul purskkaevupargis istus raamat;loc_c
poroloontugitool;Poroloontugitoolis;Poroloontugitoolis jalg istus Toomas;loc_c
boheem;Boheemis;ooperit käisin kuulamas poisikesena Boheemis;loc_c
Meinhard;Meinhardi;Korraks jooksin Meinhardi kägaras kogu poole;error
toetuskonverents;toetuskonverentsil;spetsialist käis juuni algul Mongoolias toetuskonverentsil;event
väljavisatu;väljavisatutele;kaameramehed jooksid väljavisatutele tormi;owner
tippmees;tippmeestelegi;Piirsalu astus lõpus tippmeestelegi kandadele;owner
neeger;neegrist;suunal liigub shokolaadinali neegrist sõbra pihta;error
ringrõdu;ringrõdul;ringrõdul istuvad lamamistoolides kõrvuti kuju;loc_c
telkmaja;telkmajja;astub telkmajja;loc_c
töölispartei;Töölisparteisse;kes astus siis Töölisparteisse;loc_a
maanaisesamm;maanaisesammul;kes maanaisesammul astub nüüd mööda platsi;manner
Coruña;Coruñas;Tihti käis ta Coruñas;loc_c
poksitšempionaat;poksitšempionaadil;Käisin oktoobris esindajana poksitšempionaadil;event
jalaväepataljon;jalaväepataljonis;sõnul käib jalaväepataljonis korda;loc_a
paintball;paintballist;naised käivad sageli paintballist hankimas;event
orav;oraval;käib oraval söömas;error
kasarmuhoone;kasarmuhoonest;mõrvar oli laskeharjutustele mineku eel käinud kasarmuhoonest teise;loc_c
maabumiskoridor;maabumiskoridoris;jooksevad maabumiskoridoris liivaluiteni;loc_c
muusikakihistus;muusikakihistustesse;tähendus liiguks helikeelest korraks muusikakihistustesse;loc_a
saepukk;saepukil;Nad istusid saepukil nii;loc_c
toojuur;toojuures;Jutuajamine käis neil toojuures enamaste malli järgi;error
sügisrõske;sügisrõskes;ta nüüd siin sügisrõskes keldritoas istus;error
eeden;Eedenist;Luuletajad on vaikselt lahkunud Eedenist;loc_c
veesoon;veesoontel;veesoontel käisid kustutamas loomad;loc_c
õlipõrgu;õlipõrgus;kuis sul õlipõrgus istub;loc_a
pressiruum;pressiruumi;astus vaiprada pressiruumi;loc_c
orelikontsert;orelikontserdil;Enne sõjaväge käis Lukk Vanemuises orelikontserdil;event
näitemänguselts;näitemänguseltsis;Praegu käib näitemänguseltsis sõnul noort;loc_a
šefluskord;šefluskorras;ta šefluskorras käis ehitamas;reason
jazzifestival;jazzifestivalil;jazzifestivalil astuvad maailmastaaride kõrval üles muusikud;event
tankiluuk;tankiluukidel;tankiluukidel istuvad;loc_c
Kahvli;Kahvlist;Hannes lahkus Kahvlist sügisel;loc_a
reduperiood;reduperioodidel;ta reduperioodidel öömajal käinud;time
rahvaüritus;rahvaüritustel;rahvaüritustel agaralt käinud;event
murre;murdes;külalisi jooksis messikeskuses ummisjalu rahva seast läbi murdes huvikeskuse boksi juurde näha;error
alpimägi;alpimägedes;käis alpimägedes ekskursioonil;loc_c
mikrogramm;mikrogrammidest;jutt käib mikrogrammidest kg kohta;other
laenutus;Laenutustes;Laenutustes käivad uisud tihtipeale jalast jalga;loc_c
kummitus;kummitusest;käivad jutud kummitusest;other
mõttekus;mõttekusest;USAs käib diskussioon üle dollari mõttekusest;other
enesetapp;enesetapust;surma kohta on liikunud legende alates enesetapust kuni allatulistamiseni;other
tolmupilv;tolmupilves;tolmupilves liigub tonte;loc_c
moesalong;moesalongi;naine astub moesalongi;loc_c
õunapuu;õunapuudel;Need liiguvad õunapuudel;loc_c
kolmekümnes;kolmekümnendatel;Ülejäänud astusid kodakondsusse kolmekümnendatel;time
Lõuna-Rootsi;Lõuna-Rootsis;hommikul lahkub Eckard kodust Lõuna-Rootsis tuua;loc_c
moemess;moemessil;Veebruaris käisid ülemused Itaalias moemessil;event
Sussex;Sussexis;Käisin aga jälle Sussexis vaatamas;loc_c
arvutiturg;arvutiturult;Mitsubishi lahkub arvutiturult;loc_a
õmbluskursus;õmbluskursustel;Kõigepealt käisin õmbluskursustel;event
töökaitseamet;töökaitseametis;Vallandatud käisid nädalal töökaitseametis;loc_a
ametnikkond;ametnikkonnale;kehtestamine ühekorraga käib ametnikkonnale;owner
riigipüha;riigipühal;Käige riigipühal mööda asulat;event
mudilasmaja;Mudilasmajas;laps käis varem eralasteaias Mudilasmajas;loc_a
võimetus;võimetusest;Jutt käib võimetusest;other
korrelatsioon;korrelatsioonis;teada siis liiguvad hinnad korrelatsioonis;manner
koristamistöö;koristamistöödelt;töölised koristamistöödelt lahkusid;event
vererõhk;Vererõhku;Vererõhku käib siin mõõtmas inimest;error
ploomike;Ploomikeses;Ploomikeses käib haigeid;loc_c
Managua;Managuas;Istusime abikaasaga juunil Managuas lennukisse sõita;loc_c
kirjanduspäev;kirjanduspäevadel;olen käinud kirjanduspäevadel;event
lisavõimalus;lisavõimalusest;Seega käib jutt ilmselt lisavõimalusest;other
valgerand;Valgerannas;nooruses istun Valgerannas kivi otsas;loc_c
Engqui;Engquist;Engquist jookseb lisaks põhidistantsile m;error
menupaik;menupaigas;aega käivad menupaigas ettevalmistused ümberehituseks;loc_c
Amuurimaa;Amuurimaal;Carl käis Amuurimaal;loc_c
listaku;Listakult;kes Listakult Võrru tööle käib;loc_c
muusikapress;Muusikapressis;Muusikapressis liiguvad jutud;loc_a
mõõk;Mõõgal;tuusadest astuvad Mõõgal rajale vanameister;loc_a
poliitkool;poliitkooli;nooruk astus poliitkooli;loc_a
taasvalimine;taasvalimisest;Parlamendis käivad jutud taasvalimisest saladus;other
bluusifestival;bluusifestivalil;käin bluusifestivalil;event
riigikaitseakadeemia;Riigikaitseakadeemias;Kaitseminister käis laupäeval pidamas Riigikaitseakadeemias;loc_c
mahakandmine;mahakandmisest;Jutt käib mahakandmisest;other
lõpuetapp;lõpuetapil;lõpuetapil astus Lasse eile lähemale sarja üldvõidu poole edestades;event
kivimaja;kivimajas;kivimajas on käinud varas;loc_c
restruktureerimine;restruktureerimisel;Ukraina on restruktureerimisel kaugemale astunud Eesti;event
GSM-mobiilivõrk;GSM-mobiilivõrgus;edastamine käib GSM-mobiilivõrgus;loc_a
tantsureivi;tantsureividel;kes korral käis tantsureividel keerutamas;event
kirgas;kirkal;kirkal talvepäeval astus ta sõber;error
rahasüst;rahasüstile;Venemaa liigub rahasüstile vaatamata allamäge;other
Burjaatia;Burjaatias;kunagi käisin Burjaatias;loc_c
raudpingike;raudpingikesele;Istu korraks raudpingikesele;loc_c
tipptasand;tipptasandil;mismoodi elu tipptasandil käib;state
vaal-galerii;Vaal-galeriis;Leonhard näituse aastal Tallinnas Vaal-galeriis avalikkuse ette astus;loc_c
ööriie;ööriietes;hiigelfotol istus rühm ööriietes tüdrukuid;state
ruutmeeter;ruutmeetrilt;praegu käib piirmäär ruutmeetrilt veel üle jõu;other
mineja;minejast;aastal käis klassi minejast kolmandik valmistumas;other
rahvalikkus;rahvalikkuselt;Festivaliprogrammis oli päevaks rõhuasetus sujuvalt liikunud rahvalikkuselt elitaarsuse poole;state
naaberrada;naaberradadel;on intuitiivselt liikunud naaberradadel;loc_c
tudengiaeg;tudengiajal;tudengiajal käis ta otsimas;time
rocklaager;Rocklaagril;sõnul on ta käinud Rocklaagril;event
rockmuusika;rockmuusikast;33selt lahkub ta rockmuusikast tegelema;loc_a
lukustamisasend;lukustamisasendisse;laadimisel ei liikunud lukustamisasendisse pealesõidusild;state
kalapaat;kalapaatidel;Kassid käivad kalapaatidel sadamas vastas;other
autoomanik;autoomanikest;jutt käib rikkujate puhul siiski autoomanikest;other
elamispind;elamispindadelt;maksujõuetud lahkuvad elamispindadelt;loc_c
Mordvamaa;Mordvamaal;Paraku on lahendamine käinud Mordvamaal üle kivide;loc_c
nahakiht;nahakihtidesse;UV-kiirguse mõjul liigub see nahakihtidesse;loc_c
videolaenutus;videolaenutuses;videolaenutuses leti taga istunud;loc_c
rajatähis;rajatähisele;astus kurvis rajatähisele;loc_c
alagrupimäng;alagrupimängus;The istus koos tütrega pingil alagrupimängus;event
arengukõver;arengukõveral;Eesti liigub arengukõveral;loc_a
Charlton;Charltonisse;Juunis lahkus Charltonisse vasakkaitsja;loc_a
sideasutus;sideasutuses;kes on käinud sideasutuses pensioni järel;loc_c
Linnavalitsus;Linnavalitsusest;ajaks oli E. Tamm Linnavalitsusest juba lahkunud;loc_a
filmilinastus;filmilinastustel;liikusid koos filmilinastustel;event
teleasjandus;teleasjanduses;teleasjanduses käib info-;loc_a
sõjakolledzh;sõjakolledzhisse;sõjakolledzhisse astus aastal noormeest;loc_a
agitatsioonikoosolek;agitatsioonikoosolekul;käisin linnukasvatuses agitatsioonikoosolekul;event
talurahvaerakond;talurahvaerakonnast;talurahvaerakonnast läbi käinud;loc_a
radioloogiaosakond;radioloogiaosakonnas;radioloogiaosakonnas oli tänavu alguseks uuringutel käinud naist;loc_c
tantsulugu;tantsuloos;tantsuloos istus täht endast korda mulati süles;loc_a
päikeseprill;päikeseprillides;Üllatuseks astub ta lavale päikeseprillides;state
lemmiksigaretipood;lemmiksigaretipoes;viimati käisin lemmiksigaretipoes;loc_c
baltlane;baltlastele;lääneriik ei tõtta baltlastele pakkuma;owner
eurovõistlus;eurovõistlusel;käib käsi eurovõistlusel;event
peyote-tseremoonia;peyote-tseremoonial;Käisime korda peyote-tseremoonial;event
detail;detailides;Nikolajev ei lahkunud eriarvamuse tõttu detailides;error
saareküla;Saarekülas;tihti te Saarekülas käite;loc_c
lõpukolmandik;Lõpukolmandikul;Lõpukolmandikul kõndis noateral;time
IQ;IQst;Jutt käib IQst;other
voodikate;voodikattele;Ta istus voodikattele;loc_c
sotsiaalminister;sotsiaalministril;aastatel sotsiaalministril toolil istunud;owner
matshidel-maavõistlus;matshidel-maavõistlustel;Alates aastast olen käinud matshidel-maavõistlustel;event
kuldvillak;Kuldvillakus;võistkonnast on Kuldvillakus käinud Uno;event
eurokõnelus;eurokõnelustel;kas Eesti liigub eurokõnelustel kiiresti;event
Siro;Sirol;Igatahes astus Milan Sirol seisus;loc_c
solfedžotund;solfedžotundides;nuku-teatrilased solfedžotundides käivad;loc_a
regionaalliiga;Regionaalliigas;Regionaalliigas käib matil juunior;loc_a
voorimine;voorimisest;voorimisest hoolimata istus;other
raadiosaade;raadiosaates;Kõigepealt käis sõna välja linnapea raadiosaates;event
veelomp;veelombis;järsku istusin veelombis aitasid;loc_c
söögikord;söögikorrast;Meie aga mitte aja pärast astumegi suplusest söögikorrast heatujulistena laeva;event
Giro;Girol;Taas istus itaallane sadulasse Girol;event
maffiasaal;maffiasaalis;maffiasaalis eile istunud;loc_c
vaatamisaeg;vaatamisajal;see käib eetris vaatamisajal varaõhtuti;time
Vääna;Väänal;kinnitusel käis mullu Väänal massiliselt püüdjaid antud;loc_c
Tottenhami;Tottenhamist;aastal klubist Tottenhamist lahkunud;loc_a
Brodway;Brodwayl;Brodwayl pole ma käinud;loc_c
tuhkatriinu;tuhkatriinust;aatekaaslased istusid tuhkatriinust tõusmise ajal nördinult fraktsiooni toas;error
põhimaantee;põhimaanteedel;sõnul käivad politseinikud põhimaanteedel patrullimas korravalvuritega;loc_c
OBU-galerii;OBU-galeriisse;OBU-galeriisse astub inimene tänavalt;loc_c
Andre;Andrest;kes Andrest toona haiglas vaatamas käis;error
sunnitöövangla;sunnitöövanglas;Viimasega istus diktaator algul koos sunnitöövanglas harrastati;loc_c
Rotermanni;Rotermannis;ma pole Rotermannis veel käinud;loc_c
kiirendusrada;kiirendusrajal;Kella viie paiku hommikul käis kiirendusrajal mürakas;loc_c
igamehe-sõudevõistlus;igamehe-sõudevõistlusel;meil oli üks kambast käinud igamehe-sõudevõistlusel;event
teatesõit;teatesõitudes;teatesõitudes liikusid teistest nobedamalt Kristina;event
tänavarõivas;tänavarõivastes;kontrollmängul istus Sprewell pingil tänavarõivastes;state
rajoonivalitsus;rajoonivalitsuses;aastat tagasi käisime koos konsuli rajoonivalitsuses õigust;loc_a
gümnaasiumiharidus;gümnaasiumiharidusest;Jutt käib niisiis aastal gümnaasiumiharidusest;other
Sumatra;Sumatral;Davies on käinud tänavu ekspeditsioonil Sumatral otsis;loc_c
amnestiakampaania;amnestiakampaaniast;Jutt käib amnestiakampaaniast;event
ratsatreening;ratsatreeningutel;Gümnasist käib Säreveres ratsatreeningutel;event
rahvarõivakleit;rahvarõivakleidis;Modell astub altari ette punases rahvarõivakleidis saris;state
hapnikumask;hapnikumaskis;läbi reisijatesalongi jooksid hapnikumaskis mehed;state
perekoolitus;perekoolitusel;Talvel aga käivad isad-emad tervisekeskuste juures perekoolitusel;event
kaotusmäng;kaotusmängus;kaotusmängus mees pingil istus;event
Rahumägi;Rahumäel;kes aprillil Rahumäel tänaval poisiga seksuaalvahekorda astus;loc_c
eru;erru;aastat tagasi astus Karen modelliametist erru;state
Talki;Talkist;sõnul on Talkist lahkunud juba juhatusest;loc_a
