lemma|sentence_id|head_id|example_num|total_count|feats|case|number|proper|deprel|form|loc|loc_rel|parent_loc|pos|id_x|text|gpt_annotation
vöörikamorka|7080037|11381843|1|3|com,in,sg|in|sg|0|obl|vöörikamorkas|19|2||S|21223611|""" Su mees lõikab nii sinu kui minu pauhti ribadeks , kui teada saab , "" muretses Vladlen vöörikamorkas ."|NONE
vöörikamorka|7080047|11381855|2|3|com,in,sg|in|sg|0|obl|vöörikamorkas|2|1||S|21223631|Proovisin vöörikamorkas pärast palvetamist teda meelitada , aga ei tulnud midagi välja .|NONE
vöörikamorka|7080022|11381812|3|3|com,in,sg|in|sg|0|obl|vöörikamorkas|2|1||S|21223554|Käime vöörikamorkas hoolsasti palvetamas , meiega on ühinenud ka teised muhameedlased laeval , kes enne ei julgenud seda teha .|LOC
Inturisti|12526081|20050152|1|4|in,prop,sg|in|sg|1|obl|Inturistis|15|1||S|37043155|Teda kahtlustatakse koostöös NKVD ja KGB-ga pärast arreteerimist ja pärast vangist vabanemist , töötas Inturistis , suri 1987 .|NONE
Inturisti|8551085|13705348|2|4|in,prop,sg|in|sg|1|obl|Inturistis|3|-1||S|25385233|Tänu giiditööle Inturistis tutvus ta ka oma praeguse abikaasa Didier'ga .|NONE
Inturisti|4038386|6500145|3|4|in,prop,sg|in|sg|1|obl|Inturistis|3|2||S|12139075|Töötas hiljem Inturistis giidina ja kirjastuses Aurora toimetajana .|LOC
Inturisti|2503092|4013725|4|4|el,prop,sg|el|sg|1|obl|Inturistist|9|-1||S|7514142|Praeguseks on kõik külastajad ja kontoripinda rentinud firmad Inturistist lahkunud , baarid , restoranid ja meelelahutuskohad suletud .|LOC
Marlboro|7784697|12480271|1|4|abl,prop,sg|abl|sg|1|obl|Marlborolt|7|1||S|23189770|800 kilomeetri pikkuse sõidu võitja sai Marlborolt miljon dollarit ( 15 miljonit krooni ) .|NONE
Marlboro|9129169|14676874|2|4|all,prop,sg|all|sg|1|obl|Marlborole|14|1||S|27180224|Just see lõhnavedelik , sama kiivalt saladuses hoitud nagu Coca-Cola kontsentraat , annabki Marlborole ja teistele Philip Morrise sigarettidele kordumatu lõhna .|NONE
Marlboro|5093842|8176464|3|4|all,prop,sg|all|sg|1|obl|Marlborole|14|1||S|15277454|Just see lõhnavedelik , sama kiivalt saladuses hoitud nagu Coca-Cola kontsentraat , annabki Marlborole ja teistele Philip Morrise sigarettidele kordumatu lõhna .|NONE
Marlboro|4347349|6993295|4|4|el,prop,sg|el|sg|1|obl|Marlborost|3|1||S|13053102|McLaren lahkus Marlborost|NONE
Rovajärv|106868|180035|1|4|ad,prop,sg|ad|sg|1|obl|Rovajärvel|5|-1||S|326334|40 kilomeetrit põhja pool Rovajärvel kulutavad soomlased ise igal aastal miljoneid Lääne- ja Põhja-Euroopa suurimal polügoonil sõjatööd harjutades .|LOC
Rovajärv|106920|180119|2|4|ad,prop,sg|ad|sg|1|obl|Rovajärvel|4|1||S|326504|Vilgas sõjategevus käib Rovajärvel 250 päeva aastas .|LOC
Rovajärv|106949|180169|3|4|ad,prop,sg|ad|sg|1|obl|Rovajärvel|5|2||S|326596|Soomlased lasevad kahe nädalaga Rovajärvel 7000 pauku , miine , mürske ja rakette .|LOC
Rovajärv|106932|180139|4|4|ad,prop,sg|ad|sg|1|obl|Rovajärvel|3|-1||S|326549|Palju kordi Rovajärvel käinud ohvitserid mäletavad vaid üht suuremat õnnetust pikkade aastate jooksul .|LOC
Taimõr|5082297|8157344|1|4|all,prop,sg|all|sg|1|obl|Taimõrile|5|-1||S|15241669|""" Bernardi järel on Taimõrile tulnud teisigi mammutiuurijaid välismaalt ."|LOC
Taimõr|1518473|2416334|2|4|ad,prop,sg|ad|sg|1|obl|Taimõril|3|1||S|4496843|Samas käib Taimõril üha uute nafta- ja gaasijuhtmete rajamine , mis põtrade elu ülimalt keeruliseks teeb .|LOC
Taimõr|5526941|8861734|3|4|ad,prop,sg|ad|sg|1|obl|Taimõril|16|-2||S|16574758|Ka mulle meeldis siin väga ning ootamatult sain 1982. aastal telegrammi selleltsamalt mehelt , kes Taimõril oli käinud , et siia on võimalik elamine soetada .|LOC
Taimõr|4796546|7703200|4|4|ad,prop,sg|ad|sg|1|obl|Taimõril|16|1||S|14380415|Matkaseltskonna vanim liige , 59-aastane Ilmar Saar oli Islandit näinud ülesõidul Torontosse ja see tekitas Taimõril , Tshuktshimaal , Kamtshatkal ja paljudes muudes paikades matkanud mehel soovi oma jalaga saarele saada .|LOC
elektrienergeetika|12411906|19872138|1|4|com,el,sg|el|sg|0|obl|elektrienergeetikast|6|3||S|36706487|See käis meie arusaamade kohta elektrienergeetikast tervikuna teatud ajaloolises tagasivaates .|NONE
elektrienergeetika|3013293|4833602|2|4|com,in,sg|in|sg|0|obl|elektrienergeetikas|10|-1||S|9065105|MOSKVA , 5. juuli ( BNS ) - Venemaa elektrienergeetikas on käimas aktiivsed Baltimaid ja muid naaberriike puudutavad protsessid , ütles Vene energeetikaminister Viktor Hristenko , vastates küsimusele EES Rossija Läti plaanide kohta .|NONE
elektrienergeetika|4892151|7854968|3|4|com,in,sg|in|sg|0|obl|Elektrienergeetikas|1|-1||S|14665716|Elektrienergeetikas ning gaasi- ja veevarustuses toimus detsembris 28,1 -protsendiline juurdekasv , aastaga aga vähenes müük 13,9 protsenti .|NONE
elektrienergeetika|1350103|2146759|4|4|com,in,sg|in|sg|0|obl|Elektrienergeetikas|1|-1||S|3983979|Elektrienergeetikas ning gaasi- ja veevarustuses toimus 7,3 -protsendiline tagasiminek .|NONE
hariduskontseptsioon|10085951|16180374|1|4|com,in,sg|in|sg|0|obl|hariduskontseptsioonis|3|1||S|29882195|Kahjuks räägime hariduskontseptsioonis kõigest muust kui missioonist .|NONE
hariduskontseptsioon|10024634|16081636|2|4|com,el,sg|el|sg|0|obl|hariduskontseptsioonist|4|1||S|29699990|Reformaatorid räägivad palju hariduskontseptsioonist , eriti aga selle puudumisest .|NONE
hariduskontseptsioon|2074641|3310411|3|4|com,el,sg|el|sg|0|obl|hariduskontseptsioonist|24|1||S|6196280|Täpselt nii Rakveres talitati ja ime küll - protest viis segadusse ametnikud , kes nüüd porisevad , et tohmanitest tiblad ei mõista Eesti hariduskontseptsioonist tuhkagi .|NONE
hariduskontseptsioon|16285952|25220972|4|4|com,el,sg|el|sg|0|obl|hariduskontseptsioonist|6|1||S|46338835|Uue haridusseaduse ettevalmistamine liigub sammukese hariduskontseptsioonist tagapool , ja see on ka loogiline , sest enne ei saa koostada seadust , kui puudub täpne kontseptsioon .|NONE
isetegevusring|17237753|26465862|1|4|com,in,pl|in|pl|0|obl|Isetegevusringides|1|-1||S|48452383|Isetegevusringides käib vilgas jõululaulude ja -näidendite õppimine , uute tantsude kavandamine .|NONE
isetegevusring|18145296|27565640|2|4|com,in,pl|in|pl|0|obl|isetegevusringides|12|1||S|50220092|Olgu need siis vanad memmed-taadid või noored lapsed , kes käivad isetegevusringides .|NONE
isetegevusring|13331457|21327655|3|4|com,in,pl|in|pl|0|obl|isetegevusringides|3|1||S|39455824|Osalesin kõikvõimalikes isetegevusringides - laulsin kooris , mida juhendas helilooja Blumberg , käisin draama- ja balletiringis ... ”|NONE
isetegevusring|4533458|7287104|4|4|com,in,pl|in|pl|0|obl|isetegevusringides|3|1||S|13597203|"Osalesin kõikvõimalikes isetegevusringides - laulsin kooris , mida juhendas helilooja Blumberg , käisin draama- ja balletiringis ... """|NONE
jane|21388653|30061997|1|4|all,com,sg|all|sg|0|obl|janele|7|1||S|54023880|plix: kivi keda jane käis janele ja sulle see värvilise texti asi|NONE
jane|20667596|29711485|2|4|all,com,sg|all|sg|0|obl|janele|5|1||S|53495080|Sadboy_15: vähemkalli soovib janele hääd ööd|NONE
jane|20680914|29717953|3|4|all,com,sg|all|sg|0|obl|janele|6|1||S|53505300|Rax24: sina crow1 kitusid janele või ?|NONE
jane|20366175|29565522|4|4|com,el,sg|el|sg|0|obl|jane'ist|3|-3||S|53276006|vedruseib: jane'ist olen veits kuulnud , aga Madli käib mu'ga ühes koolis !|NONE
kambja|19331088|29068277|1|4|com,in,sg|in|sg|0|obl|kambjas|5|1||S|52517875|terje: mina elan kambjas|LOC
kambja|21275123|30006485|2|4|com,in,sg|in|sg|0|obl|kambjas|7|2||S|53940793|Saara: hmm .... käige korra kambjas ja siis rääkige edasi :P|LOC
kambja|20961671|29847048|3|4|com,in,sg|in|sg|0|obl|kambjas|5|-1||S|53691831|Saara: nuh ma kambjas elan .. kui teate seda pommiauku|LOC
kambja|21292050|30014658|4|4|com,in,sg|in|sg|0|obl|kambjas|5|1||S|53952265|godreamus: ise elad kambjas ja tuled põltsu kutti peksma|LOC
karaokeõhtu|12935833|20693588|1|4|ad,com,sg|ad|sg|0|obl|karaokeõhtul|6|2||S|38261284|Iga nädal käib ta mõnel karaokeõhtul tuleb pärast tööd , laulab mõned laulud ja läheb jälle .|NONE
karaokeõhtu|8679450|13926257|2|4|all,com,sg|all|sg|0|obl|karaokeõhtule|21|2||S|25782046|Enamik juhuslikult sisse astunuid sai õhtu edenedes aru , et nad mitte millestki aru ei saa , ja läksid Atlantisesse karaokeõhtule .|NONE
karaokeõhtu|11964109|19146794|3|4|abl,com,sg|abl|sg|0|obl|karaokeõhtult|14|2||S|35351197|Noormehele oli kaasa elama tulnud kümneid fänne , kes ilmselt liiguvad lauljaga ühelt karaokeõhtult teisele kaasa .|NONE
karaokeõhtu|14288343|22683018|4|4|ad,com,sg|ad|sg|0|obl|karaokeõhtul|8|-1||S|41958045|Viljandi pubi Liverpool töötajad kutsusid märtsi lõpus karaokeõhtul laamendanud mehe taltsutamiseks politsei ,|NONE
kontsaklõbin|2352091|3769097|1|4|ad,com,sg|ad|sg|0|obl|kontsaklõbinal|3|1||S|7057274|Ta kõnnib kontsaklõbinal läbi tolliameti laburüntlike koridoride ja tutvustab selle jooksul maja ajalugu .|NONE
kontsaklõbin|7115940|11445491|2|4|ad,com,sg|ad|sg|0|obl|kontsaklõbinal|3|1||S|21340386|Gustav astub kontsaklõbinal ja südame pekseldes kohale .|NONE
kontsaklõbin|10706456|17156792|3|4|ad,com,sg|ad|sg|0|obl|kontsaklõbinal|8|1||S|31663883|Siis oli kuulda , kuidas ta tormas kontsaklõbinal üle tee sõbratari poole : “ Kujutad pilti , ” pahvatas , “ päise päeva ajal - ja ei häbene .|NONE
kontsaklõbin|13150609|21041244|4|4|ad,com,sg|ad|sg|0|obl|kontsaklõbinal|16|-1||S|38917026|Öös võime kuulda linnulaulu , aga mõnikord ka kauget udusireeni ja äikesemürinat , võime kuulda kontsaklõbinal astuvat tütarlast ja talle raskemate sammudega järgnevat poissi .|NONE
koorijuhtimine|597004|946621|1|4|com,in,sg|in|sg|0|obl|koorijuhtimises|35|1||S|1691870|""" Muusiku tee on väga eriline tee , "" tunnistab Eesti üks hinnatum naisdirigent , kes algselt plaanis hakata hoopis pianistiks , kuid juhuse tõttu - nagu ta ise toonitab - leidis oma kutsumuse koorijuhtimises ."|NONE
koorijuhtimine|2676687|4293983|2|4|com,el,sg|el|sg|0|obl|koorijuhtimisest|11|1||S|8043794|Olen vist ainuke koorijuht , kes on end elatanud ainult koorijuhtimisest ja tõestanud , et nii tööd tehes on võimalik ära elada ja oma peret toita .|NONE
koorijuhtimine|11595194|18565816|3|4|com,in,sg|in|sg|0|obl|koorijuhtimises|35|2||S|34253975|""" Muusiku tee on väga eriline tee , "" tunnistab Eesti üks hinnatum naisdirigent , kes algselt plaanis hakata hoopis pianistiks , kuid juhuse tõttu - nagu ta ise toonitab - leidis oma kutsumuse koorijuhtimises ."|NONE
koorijuhtimine|6327667|10166886|4|4|com,el,sg|el|sg|0|obl|koorijuhtimisest|6|2||S|19008374|Dirigent Alfred Karindi loobus jällegi koorijuhtimisest , sest koorid vajuvad lauldes teatavasti natuke madalamaks .|NONE
kukke|20930105|29832239|1|4|all,com,sg|all|sg|0|obl|kukkele|5|2||S|53669742|BeSexy: rebis käi kukkele|NONE
kukke|19639928|29213654|2|4|all,com,sg|all|sg|0|obl|kukkele|5|1||S|52731444|jessicaz: legend käi kukkele ma olen magamatta ja sa ajad ka mu weel vihale|NONE
kukke|19631070|29209486|3|4|all,com,sg|all|sg|0|obl|kukkele|5|1||S|52725856|jessi_mega_heas_tujus: Blade_77 käi kukkele|NONE
kukke|20154189|29469221|4|4|com,in,sg|in|sg|0|obl|kukkes|5|1||S|53132409|vang: sinu teen kukkes citty|NONE
kuupind|15229030|23782620|1|4|abl,com,sg|abl|sg|0|obl|Kuupinnalt|1|-2||S|43895035|Kuupinnalt ei peegeldu kuigi palju valgust tagasi .|LOC
kuupind|56698|97953|2|4|abl,com,sg|abl|sg|0|obl|kuupinnalt|2|-1||S|177884|Kiviselt kuupinnalt peegeldunud raadiokiirguse intensiivsus suunast oluliselt ei sõltu .|LOC
kuupind|56716|97978|3|4|com,el,sg|el|sg|0|obl|kuupinnast|15|2||S|177932|Nende abil tahetakse esimese tööaasta jooksul , mil satelliit lendab umbes saja kilomeetri kõrgusel kuupinnast , uurida põhjalikult Kuu gravitatsioonivälja , magnetvälja ja paljut muud .|LOC
kuupind|15222861|23771827|4|4|ad,com,sg|ad|sg|0|obl|kuupinnal|12|2||S|43876081|Shepard ja Mitchell sõidsid 1,2 km kaugusele ja käisid 2 korda kuupinnal .|LOC
käekõrv|8810607|14147263|1|4|com,in,sg|in|sg|0|obl|käekõrvas|7|2||S|26193582|Proua Eugenie Hurt viis Joti oma käekõrvas otsegu kalli kingituse läbi toreda saali söögituppa pruukosti võtma , neil oli hommikusuurus just käsil .|NONE
käekõrv|2200939|3518893|2|4|abl,com,sg|abl|sg|0|obl|käekõrvalt|17|1||S|6587518|Meid , jõmpsikaid , võttis vastu õpetaja Paenurm , kes laotas käed laiali - sattusime igapäevaema käekõrvalt otsekui taevase ema õnnistava tiiva alla .|NONE
käekõrv|10694301|17136785|3|4|abl,com,sg|abl|sg|0|obl|käekõrvalt|15|-2||S|31626203|Kaheksa aastat tagasi tapsid kaks kümneaastast poissi kaheaastase poisi , kelle nad kaubanduskeskuses ema käekõrvalt eemale meelitasid .|NONE
käekõrv|1469919|2339539|4|4|abl,com,sg|abl|sg|0|obl|käekõrvalt|14|-2||S|4350608|Abikaasa hakkas jooma , kaotas töö ja süüdistas mind , et just minu käekõrvalt Kätlin jooksis .|NONE
maksuprobleem|10908975|17470388|1|4|all,com,pl|all|pl|0|obl|maksuprobleemidele|9|3||S|32227005|Nii näiteks teavad ja levitavad foorumlased lahendust kõigile maksuprobleemidele .|NONE
maksuprobleem|996220|1586351|2|4|all,com,sg|all|sg|0|obl|maksuprobleemile|10|1||S|2915028|Eile käis koos Eesti Turismifirmade Liidu juhatus ja tegi maksuprobleemile tähelepanu juhtiva märgukirja ka maksuametile .|NONE
maksuprobleem|13907938|22179121|3|4|com,el,pl|el|pl|0|obl|maksuprobleemidest|11|2||S|41038515|Asjaolu , et Tõnis Palts istub teda pikka aega jälitavatest maksuprobleemidest hoolimata Tallinna linnapea kohal , on ületanud uudiskünnise ka põhjanaabrite juures .|NONE
maksuprobleem|13907941|22179125|4|4|all,com,pl|all|pl|0|obl|maksuprobleemidele|7|3||S|41038528|Paltsul aga kulub põhiaur jälle oma maksuprobleemidele , mitte linnaasjadele .|NONE
paadinina|10407924|16696326|1|4|com,in,sg|in|sg|0|obl|paadininas|9|1||S|30832191|Tema kaks äravahetamiseni sarnast poega istuvad nii muretult paadininas , nagu sõidaksid sujuvalt üle küngaste veerevas bussis .|LOC
paadinina|10407936|16696357|2|4|com,in,sg|in|sg|0|obl|paadininas|8|2||S|30832248|Kuni pojad võrkudega tegelevad , aerutab Aadi paadininas , et laine paati ära ei kannaks .|LOC
paadinina|7106712|11429120|3|4|com,ill,sg|ill|sg|0|obl|paadininasse|5|3||S|21310294|Mati ronib üle pingi paadininasse .|LOC
paadinina|12319464|19724110|4|4|com,in,sg|in|sg|0|obl|paadininas|5|1||S|36430204|Nende väike tütar oli paadininas jälgimas , kas maa on silmapiiril .|LOC
peotantsuring|14277753|22665613|1|4|com,in,sg|in|sg|0|obl|peotantsuringis|27|1||S|41925488|« Jah , aga mitte nii vormis kui Chippendales , meil on see nõks , et me mängime mehi , kes viimati ehk kuuendas klassis käisid peotantsuringis ja õppisid rumbaruutu .|NONE
peotantsuring|7448887|11959344|2|4|com,in,sg|in|sg|0|obl|peotantsuringis|8|2||S|22264373|Klaveriõpilane Mairin Tann laulab ja käib ka peotantsuringis .|NONE
peotantsuring|8167635|13110542|3|4|com,in,sg|in|sg|0|obl|peotantsuringis|17|2||S|24337649|Endise Haljala gümnaasiumi töötaja sõnul on Taneli koolist välja viskamise legend järgmine : Tanel käis tollal peotantsuringis , kus tema partneriks oli matemaatikaõpetaja tütar .|NONE
peotantsuring|7522661|12081163|4|4|com,in,sg|in|sg|0|obl|peotantsuringis|6|1||S|22481165|Et sinna pääseda , tuleb peotantsuringis esimesed oskused omandada .|NONE
peterburi|17659765|26996838|1|4|com,in,sg|in|sg|0|obl|peterburis|5|1||S|49318384|ja just nimelt elab peterburis rohkem rahvast , mitte inimesi|LOC
peterburi|17816686|27200471|2|4|com,in,sg|in|sg|0|obl|peterburis|4|-1||S|49644934|mäletan kui me peterburis käisime .|LOC
peterburi|16435125|25385078|3|4|com,in,sg|in|sg|0|obl|peterburis|11|1||S|46622450|a mul oli nii et umbes kuu aega tagasi käisin peterburis , sai veidi ostetud .|LOC
peterburi|17816674|27200452|4|4|com,in,sg|in|sg|0|obl|peterburis|9|2||S|49644895|sai siis 11 kuni 13 mai käidud st. peterburis ja ööbitud mingis kolmetärni hotellis .|LOC
puiatu|20424600|29593366|1|4|com,in,sg|in|sg|0|obl|puiatus|6|1||S|53317790|Polva_kutt: polva kutt2 elab puiatus|NONE
puiatu|19403495|29103271|2|4|ad,com,sg|ad|sg|0|obl|puiatul|8|-2||S|52568513|snooper_girl: aga seda ma tian et puiatul sa käid|NONE
puiatu|20251955|29510371|3|4|com,in,sg|in|sg|0|obl|puiatus|5|1||S|53192323|kino: mina käin puiatus|NONE
puiatu|19814217|29296344|4|4|all,com,sg|all|sg|0|obl|puiatule|6|2||S|52855731|Kapuuts: kriksi saadame kah puiatule|NONE
põhja-osa|2824011|4528714|1|4|com,in,sg|in|sg|0|obl|põhja-osas|5|-1||S|8492839|Viimastel nädalatel on ka põhja-osas toimunud mitu rünnakut .|LOC
põhja-osa|4593424|7382525|2|4|com,el,sg|el|sg|0|obl|põhja-osast|3|-2||S|13773527|Varavalges saare põhja-osast teekonda alustanud ott on väsima hakanud - algul jooksnud kuni 35 kilomeetrit tunnis ( seda näitas tehnika koerte seljas ) , aga nüüd juba kümme kilomeetrit tunnis .|LOC
põhja-osa|11422894|18305004|3|4|com,in,sg|in|sg|0|obl|põhja-osas|10|3||S|33761175|Infokeskuse väitel käis umbes viiendik valijatest hääletamas vaid Tshetsheenia põhja-osas .|LOC
põhja-osa|2045347|3263982|4|4|com,in,sg|in|sg|0|obl|põhja-osas|19|6||S|6109280|Keskuse teatel puudutas Anatoli Solovjovi , Pavel Vino-gradovi ja Leopold Eyhartsi Sojuz TM-26 pärast kolmetunnist lendu Maad Kasahstani põhja-osas Arkalõki küla lähistel .|LOC
ravikindlustusnõukogu|4501642|7238022|1|4|all,com,pl|all|pl|0|obl|ravikindlustusnõukogudele|6|1||S|13504541|Kontrollib riigikontroll ning haigekassad annavad ravikindlustusnõukogudele .|NONE
ravikindlustusnõukogu|16420772|25370871|2|4|all,com,sg|all|sg|0|obl|ravikindlustusnõukogule|5|-3||S|46598031|Lääne-Viru haigekassa pole kunagi ravikindlustusnõukogule end peale surunud , väitis Morgen .|NONE
ravikindlustusnõukogu|10320496|16560805|3|4|abl,com,sg|abl|sg|0|obl|ravikindlustusnõukogult|7|2||S|30585268|Tartu maakond ja linn said raviteenusteks ravikindlustusnõukogult selleks aastaks 246 miljonit krooni .|NONE
ravikindlustusnõukogu|922538|1469802|4|4|com,in,sg|in|sg|0|obl|ravikindlustusnõukogus|2|-1||S|2692080|Piirkonna ravikindlustusnõukogus istunud omavalitsusjuhid ja arstide esindajad kippusid Juki sõnul liiga suurt tükki oma maakonna haiglatele haarama .|NONE
stabilisaator|10508559|16846537|1|4|com,el,sg|el|sg|0|obl|stabilisaatorist|3|1||S|31105445|Ta kõndis stabilisaatorist lähedalt mööda - seal ei olnud mingit vett .|NONE
stabilisaator|14716306|23185284|2|4|com,in,sg|in|sg|0|obl|stabilisaatoris|13|-2||S|42844546|Olles teatanud , et lennukit tasakaalus hoidvas ja maandumist ning õhkutõusmist reguleerivas stabilisaatoris on tekkinud rike , püüdis meeskond sooritada hädamaandumist Los Angelese lennuväljal , kuid sinnani ei jõutud .|LOC
stabilisaator|1152068|1830438|3|4|com,in,sg|in|sg|0|obl|stabilisaatoris|29|3||S|3380325|Reisilennuk MD-83 oli teel Mehhiko kuurortlinnast Puerto Vallartast Seattle i , vahepeatusega San Franciscos , kui meeskond teatas tehnilisest rikkest lennukit tasakaalus hoidva ja maandumist ning õhkutõusmist reguleerivas stabilisaatoris .|LOC
stabilisaator|15617147|24369894|4|4|com,el,sg|el|sg|0|obl|stabilisaatorist|9|3||S|44919325|Ent vahepeal jooksis siin jutt mingist Comma nimelisest stabilisaatorist/puhastajast ( ? ) , mis kütusele juurde kallatakse ( ? )|NONE
vahetusmeestepink|8137358|13061851|1|4|abl,com,sg|abl|sg|0|obl|Vahetusmeestepingilt|1|-1||S|24247980|Vahetusmeestepingilt jälgis mängu Pajusalu .|LOC
vahetusmeestepink|10980500|17586915|2|4|abl,com,sg|abl|sg|0|obl|vahetusmeestepingilt|10|3||S|32435704|Rootsi meistrisarjas sekkus Indrek Zelinski Lands-krona BoiSi kohtumisse Hammarbyga vahetusmeestepingilt 76. minutil , kuid pärast kollase kaardi teenimise millegagi silma ei paistnud .|LOC
vahetusmeestepink|12318833|19723079|3|4|ad,com,sg|ad|sg|0|obl|vahetusmeestepingil|15|1||S|36428142|Kõrgustesse pürgimise valulikku poolt sai tunda ka Arsenali poolkaitsja Perry Groves , kes istus vahetusmeestepingil , kui meeskond värava lõi .|LOC
vahetusmeestepink|5693217|9131242|4|4|abl,com,sg|abl|sg|0|obl|vahetusmeestepingilt|2|-3||S|17082695|NHL-is vahetusmeestepingilt jääle rusikavõitlusse tormanud Vancouver Canucksi ääreründaja Todd Bertuzzi teenis automaatselt kümnemängulise võistluskeelu , teatas Sportnet .|LOC
võidutee|8095832|12991241|1|4|all,com,sg|all|sg|0|obl|võiduteele|13|2||S|24118530|"Ootame innukalt uut autot ja loodame , et Imola pani aluse meie võiduteele nagu mullugi , "" ennustab Schumacher ."|NONE
võidutee|1929528|3074643|2|4|ad,com,sg|ad|sg|0|obl|võiduteel|14|4||S|5752249|Varem üheksast omavahelisest kohtumisest vaid ühe kaotanud Sampras liikus ka Cincinnatis pikka aega võiduteel , kuid teise seti lõpus suutis Rafter initsiatiivi haarata .|NONE
võidutee|11222899|17982111|3|4|all,com,sg|all|sg|0|obl|võiduteele|7|-1||S|33159672|Armstrong haaras liidrisärgi 10. etapil , võiduteele mahtus eredaid ja süngemaid hetki .|NONE
võidutee|3733199|6012163|4|4|all,com,sg|all|sg|0|obl|võiduteele|20|-2||S|11235387|Saksa mainekale ajakirjale Der Spiegel antud intervjuus plaanib seitsmekordne maailmameister Michael Schumacher oma vormelikarjääri lõpetada , kui Ferrari meeskond võiduteele ei naase .|NONE
võistluskeskus|13717329|21918534|1|4|com,ill,sg|ill|sg|0|obl|võistluskeskusesse|10|1||S|40556872|Pärast hommikust testikatset siirdus ta hotelli puhkama ning naasis võistluskeskusesse alles õhtuseks avamisürituseks .|LOC
võistluskeskus|14146426|22486449|2|4|com,in,sg|in|sg|0|obl|võistluskeskuses|15|2||S|41596252|Tulekindla pesu vale kasutamise eest Jyväskylä MM-ralli avapäeva järel diskvalifitseeritud Urmo Aava liikus laupäeval võistluskeskuses morni näoga .|LOC
võistluskeskus|11055976|17707123|3|4|com,el,sg|el|sg|0|obl|võistluskeskusest|7|3||S|32654427|Ehitis asub vaid 1,5 km kaugusel võistluskeskusest .|LOC
võistluskeskus|5759586|9239022|4|4|com,el,sg|el|sg|0|obl|võistluskeskusest|5|2||S|17282595|Taifuuni tsenter läks seekord võistluskeskusest õnneks mööda .|LOC
äärejoon|472347|741137|1|4|com,el,sg|el|sg|0|obl|äärejoonest|19|1||S|1292854|Ja kui sedagi silmas pidada , et kõik , kes või mis pimedas teel seisab , seisaks valgest äärejoonest paremal ( kuigi LE keelab pimeda ajal teel seismise ! ) , siis võiks lähituledega suhteliselt kartmatult sõita .|LOC
äärejoon|2039810|3256857|2|4|com,el,sg|el|sg|0|obl|äärejoonest|8|-4||S|6095961|Rooli tagasikeeramiseks aega ei olnud - teeveere äärejoonest veidi enam kui meetri kaugusel asub betoonpost .|LOC
äärejoon|12257893|19623772|3|4|all,com,sg|all|sg|0|obl|äärejoonele|9|1||S|36243383|Viikmäe sai palli , spurtis keskjooneni , söötis äärejoonele Operile , kes andis kohe palli tagasi .|LOC
äärejoon|10037683|16103162|4|4|all,com,sg|all|sg|0|obl|äärejoonele|4|2||S|29740499|Paraku astus Kandimaa äärejoonele ja rünnakuõigus läks tallinlastele .|LOC
KaksPoissiTallinn|20324611|29545571|1|5|el,prop,sg|el|sg|1|obl|Kaks_Poissi_Tallinnast|1|-2||S|53245600|Kaks_Poissi_Tallinnast: ma tulen omme sinna|NONE
KaksPoissiTallinn|20325624|29546102|2|5|el,prop,sg|el|sg|1|obl|Kaks_Poissi_Tallinnast|1|-3||S|53246454|Kaks_Poissi_Tallinnast: keegi pidu ei viitsi panna ?|NONE
KaksPoissiTallinn|20324749|29545667|3|5|el,prop,sg|el|sg|1|obl|Kaks_Poissi_Tallinnast|1|-1||S|53245756|Kaks_Poissi_Tallinnast: tahate midagi karmi ?|NONE
KaksPoissiTallinn|20324618|29545575|4|5|el,prop,sg|el|sg|1|obl|Kaks_Poissi_Tallinnast|1|-1||S|53245613|Kaks_Poissi_Tallinnast: vaatan väike paks poiss on seal ... siiis tean et see oled sina|NONE
KaksPoissiTallinn|20324632|29545586|5|5|el,prop,sg|el|sg|1|obl|Kaks_Poissi_Tallinnast|1|-3||S|53245628|Kaks_Poissi_Tallinnast: mingi lööma teema käib ?|NONE
LP|565199|894002|1|5|ad,nominal,sg|ad|sg|0|obl|LP-l|9|3||Y|1589879|"Dre tegi viimati koostööd Eminem'ga nende müügihitiks saanud LP-l "" The Slim Shady "" ja enne seda katapulteeris ta edule Snoop Doggy Dogg'i ."|NONE
LP|14878371|23384795|2|5|ad,com,sg|ad|sg|0|obl|LP'l|1|-3||S|43199915|LP'l kah ei ole|NONE
LP|8400485|13463482|3|5|in,nominal,sg|in|sg|0|obl|LPs|1|-2||Y|24964956|LPs – lõhustuva proteiini söömus päevas , kg ; VPBs – vatsa proteiinibilanss päevas , kg .|NONE
LP|9106518|14641991|4|5|abl,nominal,sg|abl|sg|0|obl|LP-lt|2|-2||Y|27117908|Eelmiselt LP-lt - “ SelmaSongs ” - alanud orkestri ja tantsukõlbmatu glitch-house'i kokku kleepimise viib eskimotar käesolevaga järgmisele , paremale level'ile .|NONE
LP|7257342|11670431|5|5|abl,nominal,sg|abl|sg|0|obl|LP-lt|23|3||Y|21752720|Sekventserite ja ekvalaiserite , efekti- ja trummimasinate ja tuhandete tundmatute nuppude tootval abil esitavad daft-punkid lugusid ja palakesi paar kuud varem ilmunud LP-lt “ Homework ” .|NONE
Patarei|18079622|27507822|1|5|in,prop,sg|in|sg|1|obl|Patareis|5|2||S|50131942|Kunstnik jääb kunstnikuks ka Patareis|LOC
