form|lause|classification
NONE
kitsusele|Ometi näitas MM sedagi , et kandepinna kitsusele ja rasketele hetkeoludele vaatamata leidub noori , kes tugevatele traditsioonidele toetudes võivad kaugele jõuda - meie medalistidest on Lauri Ilison 17- ja kuulsast allveeujujate perest pärit Rein Kompus 19aastane .|NONE
kitsusesse|Tarvitseb kitsusesse tamm ette teha , võsa maha võtta ja saabki järve .|NONE
NONE
Linnamisjonisse|Linnamisjonisse toovad linlased ka riideabi .|LOC
linnamisjonis|Kui toetajaid otsisin , käisin ka linnamisjonis ning nad pakkusid toetust sel moel , et kodutud võiksid seal valvata .|LOC
linnamisjonile|Linlased annavad linnamisjonile ära kirjutuslaudu , voodeid , pliite , külmkappe ja isegi seinasektsioone .|LOC
linnamisjonis|Ööl vastu pühapäeva elumaja plahvatuses koduta jäänud 18 naist ja last elavad praegu Tallinna linnamisjonis , 15 peavarjuta meest viidi Männiku kodutute varjupaika .|LOC
rahvuslikkusest|Ma ei ole küll laskunud Tulli Lummi huvitavale , kuid siiski eestipäraselt harilikule progefolkplaadile 10 punkti andmiseni , sest selle muusikazhanri tasuta kaasandena käivad jutud rahvuslikkusest , smugrist ja juurtest võivad vahel väga tüütud olla .|NONE
rahvuslikkusest|Ei oma vääritult väärikast abielust , ei ühestki sendist , ei oma kummaliselt moondunud rahvuslikkusest , mis teda sundis ühtaegu Inga külge klammerduma ja samas teda alateadlikult igati alandama ning teisejärguliseks pidama , sest naine tuli ju sealt , kust tulid nii traviatad kui ka nõukogude agendid .|NONE
rahvuslikkuses|Ei saa ka välistada , et Ansip on saanud rahvuslikkuses värsket inspiratsiooni või ka lausa juhtnööre Siim Kallaselt .|NONE
rahvuslikkusest|Elu on läinud teistmoodi , elu läks nii , et rahvuslikkusest ja ka kodakondsusest lähtuval alusel erastamist ei toimunud .|NONE
rahvuslikkuses|Nende ümber oleksid need praegused liidu liikmed , kes on piisavalt heaolulised , et mitte Brüsselist raha soovida , ja kes oma suures rahvuslikkuses ei taha veel rahaliiduga liituda .|NONE
taktimõõdus|11. november Toompea esitab linnavalitsusele noodi 3/4 taktimõõdus .|NONE
NONE
"""taktimõõdus"|"Kiitus ja ülistus , mis oli koosolekutel , on võimalik vaid siis kui Jewelly Vaim inimesi puudutab - see on sõnul kirjeldamatu , seda peab ise kogema , kui üle saja karjapoisi koos lambukestega tõstavad koos oma hääled Jewelly poole ning laulavad Siristaja ning Susila sõnumilaulu Ten Singi viisil hiina taktimõõdus "" Tsing OFF'i "" ."|"NONE"""
taktimõõdus|"Näiteks "" Tuulehobuse tseremoonia "" esitus toimus meie mõistes 11/8 taktimõõdus korduvate perioodide kaupa ."|NONE
taktimõõdus|Osa tantsijaid tahab üks-kahendik taktimõõdus loo saatel vajalikust poole kiiremini liikuda ning sabasse tekivad augud .|NONE
Tänavakividele|Tänavakividele kukkunud pealtvaatajad pühkisid riietelt tolmu , püüdes teha halva mängu juures head nägu .|LOC
tänavakividele|” Aadam tõstis tellise pea kohale ja kukutas selle blondile naisele pähe , miski raksatas tuhmilt ja nagu välgust tabatult varises kasukaga naine tänavakividele .|LOC
tänavakivile|Välikohviku kõrval on alles ka liumägi , millest alla lastes kukub laps ikkagi tänavakivile , samuti teised turnimispuud ja -redel .|LOC
tänavakividel|Raekoja platsil Millenniumi kohviku ees tänavakividel istub paarkümmend inimest , valdavalt soomlased .|LOC
tänavakividel|Taevast ei tiba enam külma vihma , mis tänavakividel jääkirmeks tõmbub , vaid hõredaid kuivi lumekübemeid .|LOC
veerandfinaalgrupis|Reet Rausbergi juhendatav koondis jätkab nüüd veerandfinaalgrupis , kus vastasteks Slovakkia , Rumeenia ja Rootsi .|NONE
veerandfinaalgruppides|Iga alagrupi kaks tugevamat jätkavad kaheksaliikmelistes veerandfinaalgruppides .|NONE
veerandfinaalgrupis|Eile õhtul lisandusid Soomele oma veerandfinaalgrupis samuti teise võidu saanud Kanada ja Rootsi .|NONE
veerandfinaalgrupis|kuid tuli surnud ringis ikka alagrupi võitjaks ja jätkab veerandfinaalgrupis .|NONE
"""veerandfinaalgrupis"|Suurte lootustega Sibiusse sõitnud Indrek Visnapuu hoolealused alistasid veerandfinaalgrupis Portugali 72 : 63 ja eile ka ülipõnevas mängus Poola 75 : 68.|"NONE"""
Macaus|Igal sõidul vajad sa head seadistust ja head tunned , kuid Macaus on lisaks tarvis topeltkoguses õnne , eriti kvalifikatsioonis , kus on liiklust palju .|LOC
Macausse|Ehkki erinevalt Hongkongist on vaid vähesed Hiina dissidendid varjunud Macausse , on saarel elavad Falun Gongi sekti esindajad lubanud astuda teravalt vastu oma õiguste piiramisele .|LOC
Macaus|Ta lootis , et Hiina võim lööb Macaus korra majja .|LOC
Macaus|Ehkki kuritegelikud jõugud võimutsesid Macaus aastakümneid , aktiviseerus nende tegevus just pärast Macau ülemineku teatavakssaamist .|LOC
Macaus|Hetkel käib Macaus verine võitlus mõjuvõimu pärast kõige hirmuäratavama hiina maffiagrupeeringu , Hongkongis baseeruva triaadi Sun Yee Oni ja mitmete väiksemate tormilise majanduskasvuga Hiina rannikualade kohalike triaadide ja jõukude vahel .|LOC
luurekeskuses|Kaheksakümnendatel aastatel dešifreeris Viktor Makarov tollase N. Liidu luurekeskuses nii salajasi teateid , et neist ei räägitud isegi kompartei poliitbüroo liikmetele .|LOC
"""luurekeskusele"|Tänavu 26. märtsil kinnitas üks endine lääne luuraja ajalehes “ Guardian ” : “ Kui teatasid millestki Müncheni lähedal olevale Saksa luurekeskusele , oleksid nagu otse Ida-Berliini läinud ja öelnud seda Wolfile isiklikult . ”|"LOC"""
luurekeskusest|Kuid Pelton ei teadnud midagi Barentsi mere luurekeskusest .|LOC
luurekeskuses|Ta töötas Londoni lähistel luurekeskuses ( GCHQ valitsuskommunikatsiooni peakorter ) hiina keele tõlgina .|LOC
luurekeskusest|Pealtnägijate sõnul lahkusid koidu ajal inimesed ka kahest Süüria luurekeskusest Tripolis .|LOC
töökätest|Suurenenud on tööpuudus ja samas on teatud valdkondades puudus töökätest .|NONE
töökätele|« Ega teistmoodi poleks saanudki , töökätele ei oleks muidu ruumi ega tööriistu jätkunud , » usub Tallinnast Kassinurmele tööd rühmama sõitnud Keskmaa ordusse kuuluv talguline Mati Nuut .|NONE
töökätest|Õige on see Savisaare väide , et Eesti jookseb töökätest tühjaks .|NONE
töökätest|Muul ajal piisab oma pere töökätest .|NONE
Töökätest|Töökätest iseenesest puudust ei tule .|NONE
Lääne-Ukrainasse|Paradoksina on kõige rohkem Vene raha saabunud hoopis Lääne-Ukrainasse Ivano-Frankivski oblastisse .|LOC
Lääne-Ukrainas|Linnavalitsuse otsuse taga seisavad Lääne-Ukrainas mõjuvõimsad rahvuslaste organisatsioonid , kelle viha vene keele vastu keeras lõplikult üles keskealise helilooja Igor Biloziri tapmine .|LOC
Lääne-Ukrainas|141 Kõige aktiivsem tegevus toimus 1948. aastal Lääne-Ukrainas ja Leedus , kus mõlemas tegutses u 170 rühmitust , Lääne-Valgevenes oli fikseeritud 90 ja Eestis ning Lätis kokku 73 rühma .|LOC
Lääne-Ukrainas|Juštšenko toetajate meeleavaldused toimuvad kõikjal Lääne-Ukrainas .|LOC
Lääne-Ukrainas|Ent erapooletud vaatlejad osutavad ka sellele , et Juštšenkot toetavas Lääne-Ukrainas on korruptsioon levinud rohkem kui mujal riigis .|LOC
Palal|Jõgeva politseil on kavas pärast ligi viieaastast ootamist esitada reedel kriminaalsüüdistus veokijuhile , kes põhjustas 1996. aastal Palal kaheksa koolilapse surmaga lõppenud bussiõnnetuse .|LOC
Palal|Jõgeva politsei esitab reedel , pärast ligi viieaastast ootamist kriminaalsüüdistuse veokijuht Anti Ubinale , kes põhjustas 1996. aastal Palal kaheksa koolilapse surmaga lõppenud bussiõnnetuse .|LOC
Palal|Samal päeval ja samal kellaajal kestab Palal kaheksa hukkunud koolilapse matusetalitus .|LOC
Palal|Olen Palal igal aastal käinud .|LOC
Palal|"Ajalehes kirjutati , et "" Eesti Rahva Muuseum käis Palal ja Mustvees "" ."|LOC
ametitoolilt|Jüri Pihl ei suutnud jällegi heast ametikohast kinni pidada , vaid hüppas riigiprokuröri ametitoolilt justiitsministeeriumi kantsleriks nagu konn .|LOC
ametitoolist|Mustade meeste jõhkra maailma asfaldilüürikat naudib turvaliselt mugavast ja hästimakstud ametitoolist .|LOC
ametitoolil|Riigikogu ebaõiglase tšekisüsteemi autor ja 365 päeva aastas vaid rahva huvide nimel töötav Ojuland , kes luukerekõhnana tantsupõrandal rahva silmis populaarsust otsib , poseeris « Tantsud tähtedega » reklaamklipis koguni riigikogu esimehe ametitoolil .|LOC
ametitoolil|Uurijad küsitlesid teisipäeval juhtumi asjus peaministrit , kes raha kadumise ajal istus noorsooministri ametitoolil .|LOC
ametitoolil|Lepp ütles eile Postimehele , et tunneb end oma ametitoolil kindlamalt kui kunagi varem .|LOC
kahinal|Järgmisel hommikul astub rahvamass raskete kasukate kahinal , helmeste kõlinal , rahvariiete sahinal taas Finlandiatalo poole .|NONE
kahinal|Ristide kahinal pudenesid vaimud laiali .|NONE
kahinal|""" Nimelt-nimelt , "" möönis Loola mõnuleval kahinal , "" Saaveli kandi pealt ."|NONE
Kahinast|Kahinast saab kõrvulukustav kisa : lavadekoratsioonide vahelt paistavad kollid jõuluvana kodulinnast .|NONE
kahinas|See on terve pikk aastaaeg , mis möödub nende melanhoolses kahinas ja lõhnas .|NONE
kodakondsuseksamil|Mitu punkti 100 võimalikust sai USA kodakondsuseksamil Nikita Hruštšovi poeg Sergei ?|NONE
kodakondsuseksamil|Nõukogude omaaegse riigipea Nikita Hrushtshovi poeg Sergei vastas üleeile USA kodakondsuseksamil õigesti 20 küsimusest 19-le , saades nii 95 punkti sajast võimalikust .|NONE
kodakondsuseksamile|Aasta eest Flora ridadesse murdnud narvakas Jevgeni Novikov väidab samuti , et kodakondsuseksamile ajas teda hoopis muu tung .|NONE
kodakondsuseksamile|ov  ja tema abikaasa  Valentina Golenko  lähevad Ühendriikide kodakondsuseksamile 23 . juunil .|NONE
kodakondsuseksamil|Erinevatel põhjustel , kas ei jaksa keelt ära õppida , kes põrus kodakondsuseksamil , või on vanemate dokumentidega probleeme vms.|NONE
presidendiajal|"Putini tipphetk saabus pärast kohtumist telesaates "" Larry King Live "" , kus ta jagas muuhulgas kommentaare end presidendiajal tabanud katastroofide kohta ."|NONE
presidendiajast|Jõudnud pooleni oma presidendiajast , peaks Putin minema 2004. aasta valimistele vastu üsna kindlalt , sest tal ei paista olevat ühtegi tõsiseltvõetavat rivaali .|NONE
presidendiajal|25 protsenti vastanuist ootab , et Rüütel saab sama väljapaistvaks riigimeheks , kui oli oma kümneaastasel presidendiajal Lennart Meri .|NONE
presidendiajal|Berezovski on üks Venemaa niinimetatud oligarhidest , kes suutis Boris Jeltsini presidendiajal kokku ajada suure varanduse .|NONE
presidendiajast|69aastane Jeltsin on suure osa oma teisest presidendiajast olnud haige ja riigi tegelikust juhtimisest sageli kõrval .|NONE
psühhoteraapiasse|Läbikukkumine konkursil viis nooruki säärasesse masendusse , et ta läks psühhoteraapiasse ning mõistis , et peab oma sooidentiteeti tunnistama .|NONE
psühhoteraapias|Hiljem , kui psühhoteraapias käisin , siis tuli see kusagilt saja koore alt välja .|NONE
"""Psühhoteraapias"|""" Psühhoteraapias ma näen , kuidas arvutimaailm on muutunud tähtsamaks kui muu maailm ."|"NONE"""
psühhoteraapias|Tegelesin selle probleemiga psühhoteraapias õige mitu korda , enne kui lõpuks tasakaalu tagasi sain .|NONE
psühhoteraapiasse|” Ravimeid sellised inimesed kardavad , psühhoteraapiasse ei usu .|NONE
Pühapäeval-esmaspäeval|Pühapäeval-esmaspäeval käis Soome Instituudi kutsel Tallinnas põhjanaabrite tuntuim kinopublitsist , filmiõppejõud ja hulga raamatute ning dokumentaalfilmide autor Peter von Bagh ( 54 ) .|NONE
pühapäeval-esmaspäeval|Laupäeval võitsid rannavõrkpalliturniiri Pärnus Avo Keel-Kaido Kreen , pühapäeval-esmaspäeval Pirital võtsid vennad Kaarel ja Kristjan Kais revanshi .|NONE
Pühapäeval-esmaspäeval|Pühapäeval-esmaspäeval toimuvad kvalifikatsioonimängud , teisipäeval algab Sini-Valge väljakutel 32 osavõtjaga põhiturniir .|NONE
pühapäeval-esmaspäeval|Küsitlused näitasid , et pühapäeval-esmaspäeval lasi hääletussedeli kasti lausenamik neljast miljonist värskelt hääleõiguslikuks saanud noorest kodanikust .|NONE
Pühapäeval-esmaspäeval|Pühapäeval-esmaspäeval väisas Eestit Jaapani suuruselt neljanda autofirma Suzuki juhatuse esimees Yoshio Saito , 64 .|NONE
veinipiirkondades|Vähemalt veinipiirkondades kuulub see nektar sagedasti toidu sisse ja juurde nagu sool-pipar .|LOC
veinipiirkonnas|Pärast seda käisime Bordeaux ’ külje all ühes kuulsaimas veinipiirkonnas Saint Demillien .|LOC
veinipiirkondades|Täna ülemaailmselt tuntud parimates Prantsuse veinipiirkondades nagu Burgundia , Bordeaux , Alsace jt , kobrutasid veinitõrred juba Rooma impeeriumi hiilgeaegadel .|LOC
veinipiirkonnast|Los Cardose 2002 aasta Cabernet Sauvignon pärineb Argentina kuulsaimast veinipiirkonnast Mendozast .|LOC
veinipiirkondadele|Nimelt ei jää Argentiina peamise viinamarjakasvatuspiirkonna - Mendoza provintsi - ilmastik suurt millegi poolest alla Tshiili veinipiirkondadele ning seal saaks kahtlemata pruulida eliitveine .|LOC
Eros|"Öeldakse ju , et esimesena lahkub meist Eros , siis Bacchos , aga isakese Marsiga sammume käsikäes lõpuni . """|NONE
Eros|USA kosmosesond Near Shoemaker maandus esmaspäeva õhtul asteroidil Eros .|LOC
Eros|Tabloidväljaanne Komsomolskaja Pravda avaldas teaduskeskuse Eros värsked uuringutulemused , mille järgi asub näiteks SL Õhtulehe Moskva korrespondendipunkt kollases tsoonis ehk niisuguses , mis on parim tavaeluks ja eluterveks perekondlikuks seksiks .|LOC
Eros|BBC uudistekanali teatel loodab ameeriklaste kosmoseagentuur NASA kindlaks teha , millistest mineraalidest Eros koosneb .|LOC
Erost|Enne Erost pooletunnise esinemisega lavale tulnud Dave Benton laulis oma tuntud headuses kavereid popmuusika varasalvest .|NONE
imaveres|tydruk: tauri ega sa juhuslikult imaveres ei ela|LOC
imaveres|kriss: ma tean kas sa elad imaveres we|LOC
imaveres|tydruk: tauri ega sa juhuslikult imaveres ei ela|LOC
imaveres|sk8ergirl: kle sa käisid imaveres laagris user1879 ...... 488|LOC
imaveres|kuum115: kas sa katu elad imaveres ?|LOC
jaanikust|Tallinlased , kes jaaniõhtuks linnast ei lahku , saavad ühisest suurest jaanikust osa linnaski .|NONE
jaanikule|Muhu jaanikule kõnnib rahvas kell 19.30 - Muhu kiriku juures Hellamaa jaanituleplatsil esinevad Läti ja Muhu taidlejad .|NONE
jaanikule|Sajad jalapaarid tulid siia juba mullu ja läinud suvel jaanikule .|NONE
jaanikutele|23.06.1997 President Lennart Meri saatis kõigi maakondade jaanikutele võidutule Võrust .|NONE
"""jaanikule"|""" Armsad inimesed , mis te nüüd ometi sellest autokummist kallile jaanikule kaasa vedasite ? "" pärib Juhan Parts rangelt ."|"NONE"""
lössis|Järgmisel varahommikul kihutame lössis taksoga Pihkvast jälle Petserisse .|NONE
lössis|Ma ootasin iga päev , nina vastu aknaruutu lössis , et ehk Umboja peremees astub ka viivuks sisse aega viitma , aga kus sa sellega .|NONE
lössis|Mul äi-ämm elavad seal ja nägid seda lössis autot ja|NONE
lössis|Mul äi-ämm elavad seal ja nägid seda lössis autot ja ilmselt automees tegi kõvemat häält , sest ka nemad teadsid rääkida , et tsikkel keeras ette ...|NONE
lössis|« Pikad salguta-mata juuksed veavad näojooni allapoole , nii et nägu näeb välja lössis .|NONE
"""raviseansile"|""" Hommikuse treeningu järel tuleb Rumma raviseansile , siis otsustame , kas jalg kannatab juba ka mängupinget ."|"NONE"""
raviseanssidel|Aga nüüd olen taltunud - käin raviseanssidel , teen eriharjutusi ja säilitan elujaatava suhtumise .|NONE
"""raviseansile"|""" Kohe lõi jalga valu , "" ütles Kangur , kes läks saalist raviseansile ."|"NONE"""
raviseanssidel|Võib-olla ma oma raviseanssidel mõjungi paraja despoodina , kuid ma tahan , et minu nõudeid ka tõepoolest täidetakse .|NONE
raviseansil|Kahekordne olümpiavõitja käis eelmisel nädalal Austrias Salzburgi lähedal Halleinis Egiptuse päritolu füsioterapeudi Mohamed Khalifa raviseansil .|NONE
win'ist|ma ei tea , mida sa üritad , aga windowsi reinstall käib win'ist väljas .|NONE
winile|Seda taastada saab , ilma et winile reinstalli teeks ?|NONE
win-s|Kui vahest hiirega probleemid on või kui mingis situatsioonis hiir puudub ja on vaja win-s ringi rallata , siis on neist klahvidest kasu küll ( hiirega probleem - safe modis jne .. )|NONE
NONE
winil|kas see windowblinds töötab igal winil ?|NONE
Kozlovist|Portaal kirjutas , et Kozlovist sai kahtlusalune , kuna ta ei täitnud kohtu korraldust , s.t. ei vabastanud ruume , milles säilitatakse arhiivdokumente ja muuseumieksponaate .|NONE
Kozlovile|Mari kõrgeima rahvuskogu esimeheks valitud Kozlovile tungisid kurjategijad kallale 4. veebruari hommikul Joškar-Ola ajakirjandusmaja lähistel , kui ta oli teel tööle .|NONE
Kozlovil|Kommentaarides riigi ühe esipankuri tapmise kohta koorub välja tõsiasi , et vaenlasi jagus 41-aastasel Kozlovil sadu , kui mitte tuhandeid .|NONE
"""Kozlovil"|""" Kuura usub , et kui Kozlovil läinuks kõik normaalselt , pääsenuks ta arvatavasti ka olümpiale ."|"NONE"""
NONE
estraadilavale|Sai villand poliitikast , astusin estraadilavale .|LOC
estraadilaval|Selles samas majas , kus mina , noor elukutseline artist , oma esimesi samme estraadilaval tegin .|LOC
estraadilavadelt|Sealtpeale on ta estraadilavadelt naerutanud publikut koos väga paljude eesti sõnateatri suurkujudega nagu Jüri Järvet , Einari Koppel , Ago Saller jt.|LOC
estraadilavadele|LÕHIK : Sedalaadi lõhikud sobivad estraadilavadele ja ööklubidesse .|LOC
estraadilaval|Võtsin koha sisse estraadilaval , kuhu hiljem saabusid Eesti NSV juhid Vaino Väljas , Indrek Toome , olümpiavõitjad ja teised .|LOC
keemialaborites|Maian on üles kasvanud kunstiinstituudi keemialaborites ja fotostuudiotes .|LOC
keemialaboreis|Ohutuse tagamiseks korraldab TTÜ keemialaboreis lauskontrolli|LOC
keemialaborist|Nüüd ei saa Järvamaa haigla arstid ja õed enne patsientidele meditsiinilist hapnikku anda , kui on saanud tervisekaitse keemialaborist kinnituse selle ohutuse kohta .|LOC
"""keemialaborisse"|THG jäljed viivad Victor Conte juhitud ja Californias asuvasse Balco keemialaborisse , kus aine väidetavalt välja töötati .|"LOC"""
keemialaborist|Kalle Ilmoja Tartu Tervisekaitsekeskuse keemialaborist ütles , et seda ainet ei maksa karta , see on kõige tavalisem söögisooda .|LOC
metsasügavuses|Või hoopis kiirustada kellega kohtuma , kellegi teisega , kes teda selles metsasügavuses , tõeliselt sobivas kohtumiskohas ootas ! ?|LOC
metsasügavuses|Kusagil kaugel metsasügavuses huilgas hommiku poolt ootamatult tabatud öökull .|LOC
metsasügavustesse|Kui ta 2004. aastal ostis ligi 16 miljoni krooni eest Soomest metsasügavustesse peitunud ja majanduslikult mitte tulu toova savimärklaudu tootva tehase , tuli kõigepealt hakata katsetama õiget tehnoloogiat .|LOC
metsasügavuses|Piirkonna kõige muljetavaldavam vaatamisväärsus on aastail 1832- 1842 Ludwig von Maydelli kavandi järgi ehitatud pseudogooti stiilis Grünewaldtide kabel , mis asub mõisa peahoonest kilomeeter eemal loode suunas metsasügavuses .|LOC
metsasügavustest|Esialgu on katuseni üksjagu rabelemist , aga mõte metsasügavustest väsinud palkmaju otsida ning need siis üles ehitada on aasta jagu vana .|LOC
pöördtoolides|Enamiku ligi kolmetunnisest lavastusest istusid tegelased kõrgete seljatugedega pöördtoolides , keerutasid end aeg-ajalt , tõusid haruharva püsti , liginesid üksteisele , ja rääkisid .|LOC
pöördtoolis|” Bigart pööras end pöördtoolis järsult väljuja poole .|LOC
pöördtoolis|Kuna telefon ikka veel helises , võtsin laua taga pöördtoolis istet ja tõstsin toru kõrva äärde .|LOC
pöördtoolis|"Pärast Krossi näidendi "" Vend Enrico ja tema piiskop "" etenduse lõppu pakkus lavastaja Mikk Mikiver kirjanikule laval istet samas vanas kägisevas pöördtoolis , milles äsja oli piiskop Profittlichina saatuse vaekausse mängitanud Guido Kangur ja milles 20 aastat tagasi Krossi "" Pöördtoolitunnis "" Heino Mandri Eugen Jannseni rollis arutles ajakirjanduse kui munade peal kõndimise kunsti üle ."|LOC
pöördtoolilt|Ajakirjaniku küsimuse peale , kui palju suusakeskusi näiteks Austrias üles võib lugeda ning kataloogis välja reklaamida , tõuseb Renee Tuul pöördtoolilt püsti ja naaseb teatmikuga , mis umbes sama paks kui õigekeelsussõnaraamat . ?|LOC
"""ristilöömisel"|Me oleme käinud Kristuse ristilöömisel , Caesari mõrvamisel , Charles I , Louis XVI ja Robespierre'i hukkamisel .|"NONE"""
ristilöömisest|Evangeeliumid räägivad ristilöömisest erinevalt .|NONE
ristilöömisele|Palmipuudepüha on paastu viimane ehk kuues pühapäev , sel päeval sisenes Jeesus usutavasti püha Jeruusalemma , vastu oma ristilöömisele .|NONE
ristilöömisele|Kuid ristilöömisele järgneb uuestisünd .|NONE
ristilöömisele|Väljaanded kirjutasid muigega , kuidas Miramaxi juhtfiguur Harvey Weinstein vastuvõtul Cannes'is pühendas enamiku ajast oma prantslasest levitaja näitlikule ristilöömisele , sest kompanii viimane kasumimootor on konkurentsis prantsusmaisega alla jäänud .|NONE
Just|Eri kollektiivides on ta eurolaval esinenud lausa kahel aastakümnel : 1986. aastal platseerus Islandi lugu suurte lootuste kiuste alles 16. kohale ; 1991. aastal Norra eest lauldes jäi pala « Mrs Thompson » , mida Eirikur esitas koos grupiga Just 4 Fun , aga 17. kohale .|NONE
Just|"Festivali külastab ka Gus van Sant , kelle film "" Elevant "" mulluse Just Filmi võitis ."|NONE
Just|FC Flora ja FC Levadia esimene mäng Maardus lõppes teatavasti 1 : 1 Just sellest kohtumisest sai alguse kordusmängu võit , arvas Levadia mängujuht Olumets .|NONE
Just|"Nad pole eestlased .. "" ( cc ) nemad on eestlased , ära ehita müüri Just , oleme murdepunktis , kus ei tohi eksida , nemad on juba selle maa lapsed , ja eestlased , kui nad seda tahavad ."|NONE
Just|Seal istus juba Just , näost üsna kaame .|NONE
Sopotis|Sopotis annavad nad oma esimese kontserdi Poola pinnal : laulavad neli laulu kohalikus teleshow's.|LOC
Sopotis|Sopotis , kus meie estraadistaarid kunagi loorbereid lõikasid , jalutasin palju ringi möödunud aasta märtsis .|LOC
Sopotis|Maret Ani langes Sopotis välja|LOC
Sopotist|Stuudios on aasta 1984 aasta , mil Anne Veski toob Sopotist kaks preemiat ja 3aastane Maarja-Liis Ilus alustab laulukarjääri filmis « Õnneseen » .|LOC
Sopotisse|Oldfield tuleb Eestisse Venemaalt Jekaterinburgist ja sõidab edasi Poola Sopotisse .|LOC
"""battle'il"|Sarnaselt eelmisele aastale , eelnevad põhivõistlusele samal päeval ilma publikuta kvalifikatsioonid , kus kõik esimest korda battle'il osalevad emceed peavad suvalise biidi peale friistailima ühe vähemalt 8-taktilise ( 8 x 4 ) stiilinäite oma flowst .|"NONE"""
battlele|mine MC battlele|NONE
"""battle'ile"|Ja ütleme nii , et kui lähed battle'ile , siis polegi vaja kedagi nii-öelda maha teha , vaid lihtsalt kahemõttelisustega anda vastasele võimalus ise mõelda , mida keegi tahab öelda .|"NONE"""
"""battle'ile"|rahutu_hing: subfooter mine mc battle'ile sul oleks seal suur menu|"NONE"""
battle'il|Just Submissionit pidas enne finaali jõudnute väljakuulutamist oma suurkonkurendiks ka Prantsusmaalt saabunud professionaalsete breikarite crew Olympic Starz , kelle koosseisus astus üles ka ainus battle'il esinenud naisbreikar Beebish legendaarsest 1977. aastal alustanud New Yorgi Rock Steady Crew'st.|NONE
keebis|INDUSTRIAL METAL  Kangelane saabub räämas keebis , teeb lohe suunas igasuguseid sündsusetuid liigutusi ning valvemeeskond heidab ta muinasjutumaalt välja .|NONE
keebis|"Kanal 2 "" Suvereporteri "" ilmateade meenutas möödunud nädalal Ameerika filmidest nähtud ilmateatelugejaid , kes vihma korral keebis esinevad ning soojakraadidest teatades riided seljast viskavad ."|NONE
keepides|Pirita jõe parema kalda ääres askeldavad tibukollastes keepides vesiehitusfirma töötajad sakutavad kraanakange ja suunavad firma juhatajat Mati Roosmad .|NONE
keebis|Kes ei üllatuks , kui poodi astub 4-5 mustas keebis , kaigaste ja mõõkadega meest ja nõuab meelikööri .|NONE
keepidesse|Siis mässivad sõtkujad end keepidesse , mis kirendavad sajas värvitoonis .|NONE
"""kontserdipiletitele"|TALLINN , 27. jaanuar ( EPLO ) - Eelmisel nädalal jõustus Leedu parlamendi otsus alandada kõikide kultuuriürituste piletitele kehtivat käibemaksumäära , mis jätab Eesti ainsaks Balti riigiks , kus kontserdipiletitele kehtib käibemaksu täismäär , teatas Eesti kontserdikorraldajate liit .|"NONE"""
kontserdipiletitele|TALLINN , 14. märts ( EPLO ) - Piletilevi trükkis kogemata esimestele müüki läinud Depeche Mode'i kontserdipiletitele vale nädalapäeva , teatas Äripäev Online .|NONE
kontserdipiletitele|Huvilised Tallinna lauluväljakul augustis esineva maailma ühe tuntuima rockansambli Rolling Stones'i eile esimest päeva müügil olnud kontserdipiletitele tormi ei jooksnud .|NONE
kontserdipiletist|40 000 kontserdipiletist on enamik omaniku leidnud .|NONE
kontserdipiletitel|Näiteks Saksamaal ja Tsehhis kehtib kontserdipiletitel seitsmeprotsendiline käibemaks ning Lätis , Poolas ja Bulgaarias rakendatakse nullmäära , lisas ta .|NONE
revüüteatrile|Mart Sander ei näe oma tulevasele revüüteatrile võistlejaid .|LOC
revüüteatris|"Ilmselt õnnestub Modern Foxil aastavahetusel huuled paiste mängida , sest revüüteatris Bel Etage mängivad nad aastavahetuseõhtul ( kl 20 , 1200.- ) lisaks "" Beau Mondele "" ka uut folkkava "" Ai lupsadi luusangadi "" ."|LOC
revüüteatris|Kümme aastat tagasi oli Viru varietees turistide tõmbenumbriks Mait Agu lavastatud tantsusõu Viru folk , nüüd esietendus revüüteatris Bel-Etage Mait Agu õpilase Kristjan Kurmi Ai lupsadi luusangadi .|LOC
revüüteatrile|Jutukamaks muutub Mart Sander siis , kui jutt läheb revüüteatrile Bel-Etage .|LOC
Revüüteatrile|Revüüteatrile kõik kostüümid õmmelnud Mart Sanderi ema ei viibinud poja Eestist lahkumise etendusel .|LOC
semiootikast|Siinne uurimus on töö edenedes leidnud endale tuge semiootikast , kuid üritanud jääda ikkagi suures osas traditsioonilise kirjandusteaduse piiresse , mis selgitab ja uurib kirjandust ja tema funktsioneerimist .|NONE
semiootikas|Käesolevas uurimuses järjestatakse semioosi dimensioone - süntaktikat , semantikat ja pragmaatikat - semiootikas levinud viisil , millega ei kaasne aga viidet nende hierarhilisusele .|NONE
semiootikast|"Lotmani "" Semiosfäärist "" ja Toropi "" Kultuurimärkide "" ilmumisega on semiootikast kui teisitimõtlemisest saamas paradigma ."|NONE
NONE
semiootikasse|Kui me tahame minna ühest erialast või valdkonnast teise , peame leidma nende ühisosa , see tähendab , et erialast siirdume me semiootikasse ja semiootikast teise eriala valda .|NONE
"""valitusele"|Teisipäeval otsustas ministeeriumidevaheline kaitsemeetmete komisjon , et põllumajandusminister teeb valitusele ettepaneku ajutiste kaitsemeetmete rakendamiseks imporditava sealiha suhtes .|"NONE"""
